Languagetool gets right: 809
Out of: 2136
Accuracy: 0.379

LT correct + ours correct: 673
LT correct + ours incorrect: 136
LT incorrect + ours correct: 761
LT incorrect + ours incorrect: 566

############ Correct by Languagetool, correct by us ##########
orig: perchè 	 correct: perché ours: perché
orig: perche 	 correct: perché ours: perché
orig: perche 	 correct: perché ours: perché
orig: piu 	 correct: più ours: più
orig: piu 	 correct: più ours: più
orig: Maroco 	 correct: Marocco ours: Marocco
orig: dificile 	 correct: difficile ours: difficile
orig: venerdi 	 correct: venerdì ours: venerdì
orig: gia 	 correct: già ours: già
orig: lentemente 	 correct: lentamente ours: lentamente
orig: gia 	 correct: già ours: già
orig: raconterei 	 correct: racconterei ours: racconterei
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: Comè 	 correct: Come ours: Come
orig: prossimà 	 correct: prossima ours: prossima
orig: Comè 	 correct: Come ours: Come
orig: Abiamo 	 correct: Abbiamo ours: Abbiamo
orig: perche 	 correct: perché ours: perché
orig: comminciato 	 correct: cominciato ours: cominciato
orig: é 	 correct: e ours: e
orig: cittá 	 correct: città ours: città
orig: puó 	 correct: può ours: può
orig: cittá 	 correct: città ours: città
orig: germania 	 correct: Germania ours: Germania
orig: gia 	 correct: già ours: già
orig: anché 	 correct: anche ours: anche
orig: anché 	 correct: anche ours: anche
orig: caffé 	 correct: caffè ours: caffè
orig: anché 	 correct: anche ours: anche
orig: racontarti 	 correct: raccontarti ours: raccontarti
orig: Qualce 	 correct: Qualche ours: Qualche
orig: piu 	 correct: più ours: più
orig: Martedi 	 correct: Martedì ours: Martedì
orig: perche 	 correct: perché ours: perché
orig: citta 	 correct: città ours: città
orig: theatro 	 correct: teatro ours: teatro
orig: familia 	 correct: famiglia ours: famiglia
orig: parccheggio 	 correct: parcheggio ours: parcheggio
orig: citta 	 correct: città ours: città
orig: theatro 	 correct: teatro ours: teatro
orig: vaganze 	 correct: vacanze ours: vacanze
orig: commincera 	 correct: comincerà ours: comincerà
orig: familia 	 correct: famiglia ours: famiglia
orig: lunedi 	 correct: lunedì ours: lunedì
orig: mercoledi 	 correct: mercoledì ours: mercoledì
orig: italia 	 correct: Italia ours: Italia
orig: ciama 	 correct: chiama ours: chiama
orig: lunedi 	 correct: lunedì ours: lunedì
orig: venerdi 	 correct: venerdì ours: venerdì
orig: baccione 	 correct: bacione ours: bacione
orig: bibliodeca 	 correct: biblioteca ours: biblioteca
orig: Perche 	 correct: Perché ours: Perché
orig: lunedi 	 correct: lunedì ours: lunedì
orig: à 	 correct: a ours: a
orig: messagio 	 correct: messaggio ours: messaggio
orig: directamente 	 correct: direttamente ours: direttamente

############ Correct by Languagetool, incorrect by us ##########
orig: Solidarietá 	 correct: Solidarietà ours: solidarietà
orig: Soliderietà 	 correct: Solidarietà ours: solidarietà
orig: lammentare 	 correct: lamentare ours: alimentare
orig: sovrafollata 	 correct: sovraffollata ours: sovraffollate
orig: Singnor 	 correct: Signor ours: signor
orig: Giorgo 	 correct: Giorgio ours: giorno
orig: piacuto 	 correct: piaciuto ours: piaccio
orig: comincare 	 correct: cominciare ours: cominciate
orig: chierdere 	 correct: chiedere ours: Chiedere
orig: capouffico 	 correct: capoufficio ours: capocomico
orig: svegliàta 	 correct: svegliata ours: svegliato
orig: comincare 	 correct: cominciare ours: comunicare
orig: erasmus 	 correct: Erasmus ours: Erasmo
orig: Universita 	 correct: Università ours: università
orig: civilta 	 correct: civiltà ours: rivolta
orig: baccare 	 correct: bacare ours: beccare
orig: Singora 	 correct: Signora ours: singola
orig: publicata 	 correct: pubblicata ours: pubblicato
orig: Chattolica 	 correct: Cattolica ours: cattolica
orig: communicavo 	 correct: comunicavo ours: comunicato
orig: Farcitto 	 correct: Farcito ours: fritto
orig: residenc 	 correct: residence ours: residenza
orig: Puo 	 correct: Può ours: Puoi
orig: neelle 	 correct: nelle ours: delle
orig: capiro 	 correct: capirò ours: capivo
orig: Ammettéro 	 correct: Ammetterò ours: Ammetto
orig: Solidarieta 	 correct: Solidarietà ours: solidarietà
orig: gia 	 correct: già ours: sia
orig: conocserei 	 correct: conoscerei ours: conoscere
orig: Reppublica 	 correct: Repubblica ours: repubblica
orig: duemillaundici 	 correct: duemilaundici ours: duemiladodici
orig: ticinesci 	 correct: ticinesi ours: cinesi
orig: pulman 	 correct: pullman ours: pulmino
orig: realizate 	 correct: realizzate ours: realizzati
orig: sodisfatta 	 correct: soddisfatta ours: soddisfatto
orig: Societa 	 correct: Società ours: società
orig: Afetto 	 correct: Affetto ours: affetto
orig: vi 	 correct: Vi ours: Ti
orig: ho 	 correct: Ho ours: Io
orig: sicome 	 correct: siccome ours: come
orig: sicome 	 correct: siccome ours: come
orig: in 	 correct: In ours: Io
orig: saró 	 correct: sarò ours: sarà
orig: potró 	 correct: potrò ours: poter
orig: comminció 	 correct: comincio ours: comincia
orig: finiró 	 correct: finirò ours: finire
orig: saró 	 correct: sarò ours: sarà
orig: telefoneró 	 correct: telefonerò ours: telefonare
orig: baci 	 correct: Baci ours: Bacio
orig: potró 	 correct: potrò ours: potrai
orig: vorebbe 	 correct: vorrebbe ours: direbbe
orig: gìa 	 correct: già ours: a
orig: communicazione 	 correct: comunicazione ours: Comunicazione
orig: conoschete 	 correct: conoscete ours: conoscere
orig: à 	 correct: a ours: e
orig: caspitta 	 correct: caspita ours: aspetta
orig: gia 	 correct: già ours: Già
orig: va 	 correct: Va ours: va
orig: contentissma 	 correct: contentissima ours: contentissimo
orig: mariviglioso 	 correct: meraviglioso ours: Meraviglioso
orig: dittà 	 correct: ditta ours: città
orig: communicazioni 	 correct: comunicazioni ours: comunicazione
orig: nervocismo 	 correct: nervosismo ours: terrorismo
orig: piacuta 	 correct: piaciuta ours: piaciuto
orig: cioé 	 correct: cioè ours: con
orig: mediterranae 	 correct: mediterranea ours: mediterraneo
orig: participare 	 correct: partecipare ours: particolare
orig: possibilitá 	 correct: possibilità ours: possibili
orig: Arriveró 	 correct: Arriverò ours: Arriverà
orig: gia 	 correct: già ours: sia
orig: financiare 	 correct: finanziare ours: rilanciare
orig: Sicome 	 correct: Siccome ours: Come
orig: sucesso 	 correct: successo ours: accesso
orig: comincierò 	 correct: comincerò ours: cominciare
orig: sucesso 	 correct: successo ours: spesso
orig: festeciamo 	 correct: festeggiamo ours: festeggiano
orig: anché 	 correct: anche ours: Anche
orig: forsè 	 correct: forse ours: farsi
orig: appertutto 	 correct: dappertutto ours: appetito
orig: quache 	 correct: qualche ours: quante
orig: simpathici 	 correct: simpatici ours: simpatico
orig: paghano 	 correct: pagano ours: pagato
orig: sappere 	 correct: sapere ours: Sapere
orig: telephonarmi 	 correct: telefonarmi ours: telefonarci
orig: ti 	 correct: Ti ours: Mi
orig: cominiciare 	 correct: cominciare ours: comunicare
orig: giovedi 	 correct: giovedì ours: giovani
orig: è 	 correct: È ours: A
orig: sabatosera 	 correct: sabato sera ours: stratosfera
orig: è 	 correct: È ours: A
orig: giovedi 	 correct: giovedì ours: giovani
orig: giovedi 	 correct: giovedì ours: giovani
orig: à 	 correct: a ours: e
orig: comincare 	 correct: cominciare ours: nominare
orig: rifutare 	 correct: rifiutare ours: aiutare
orig: pùoi 	 correct: puoi ours: vuoi
orig: lavolare 	 correct: lavorare ours: Lavorare
orig: Bongiorno 	 correct: Buongiorno ours: Giorno
orig: giovedi 	 correct: giovedì ours: giovani
orig: giovedi 	 correct: giovedì ours: giovani
orig: Giovedi 	 correct: Giovedì ours: Giovani
orig: giovedi 	 correct: giovedì ours: giovani
orig: Prererisco 	 correct: Preferisco ours: Preferisce
orig: giovedi 	 correct: giovedì ours: giovani
orig: giovedi 	 correct: giovedì ours: giovani
orig: giovedi 	 correct: giovedì ours: giovani
orig: giovedi 	 correct: giovedì ours: giovani
orig: compleano 	 correct: compleanno ours: completo
orig: cogniati 	 correct: cognati ours: contati
orig: à 	 correct: a ours: e
orig: maturita 	 correct: maturità ours: materia
orig: ventitre 	 correct: ventitré ours: ventidue
orig: chiamero 	 correct: chiamerò ours: chiamare
orig: avete 	 correct: Avete ours: Avere
orig: ci 	 correct: Ci ours: Chi
orig: depende 	 correct: dipende ours: decente
orig: puo 	 correct: può ours: Puoi
orig: cathedrale 	 correct: cattedrale ours: cattedrali
orig: hai 	 correct: Hai ours: Ha
orig: tutti 	 correct: Tutti ours: Tutto
orig: el 	 correct: El ours: Il
orig: daniella 	 correct: Daniela ours: cannella
orig: gentille 	 correct: gentile ours: gentili
orig: commincio 	 correct: comincio ours: comincia
orig: sono 	 correct: Sono ours: Solo
orig: vocabulari 	 correct: vocabolari ours: vocabolario
orig: Jennaio 	 correct: Gennaio ours: gennaio
orig: depende 	 correct: dipende ours: decente
orig: affetuosi 	 correct: affettuosi ours: affettuoso
orig: panetiere 	 correct: panettiere ours: cantiere
orig: lunedi 	 correct: lunedì ours: Lunedì
orig: croazia 	 correct: Croazia ours: grazia
orig: gentille 	 correct: gentile ours: geniale
orig: delicioso 	 correct: delizioso ours: deliziosi
orig: lunedi 	 correct: lunedì ours: Lunedì
orig: passegiare 	 correct: passeggiare ours: assegnare

############ Inorrect by Languagetool, correct by us##########
orig: appassianati 	 languagetool: Appassionati 	 correct: appassionati ours: appassionati
orig: residenze 	 languagetool:  	 correct: residence ours: residence
orig: universita 	 languagetool: Università 	 correct: università ours: università
orig: giugo 	 languagetool: giogo 	 correct: giugno ours: giugno
orig: annucio 	 languagetool: Annuncio 	 correct: annuncio ours: annuncio
orig: area 	 languagetool:  	 correct: aria ours: aria
orig: villaggo 	 languagetool: villaggi 	 correct: villaggio ours: villaggio
orig: occassione 	 languagetool: Occasione 	 correct: occasione ours: occasione
orig: é 	 languagetool: e 	 correct: è ours: è
orig: augosto 	 languagetool: Agosto 	 correct: agosto ours: agosto
orig: ano 	 languagetool:  	 correct: anno ours: anno
orig: buggia 	 languagetool: Muggia 	 correct: bugia ours: bugia
orig: ocorre 	 languagetool: Occorre 	 correct: occorre ours: occorre
orig: gioccare 	 languagetool: fioccare 	 correct: giocare ours: giocare
orig: é 	 languagetool: e 	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: e 	 languagetool:  	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: leggeró 	 languagetool: leggero 	 correct: leggerò ours: leggerò
orig: accetabile 	 languagetool:  	 correct: accettabile ours: accettabile
orig: rivolgheró 	 languagetool: rivogherò 	 correct: rivolgerò ours: rivolgerò
orig: cosí 	 languagetool: cosi 	 correct: così ours: così
orig: e 	 languagetool:  	 correct: è ours: è
orig: e 	 languagetool:  	 correct: è ours: è
orig: e 	 languagetool:  	 correct: è ours: è
orig: anniunciato 	 languagetool: Annunciato 	 correct: annunciato ours: annunciato
orig: condottore 	 languagetool: condottare 	 correct: conduttore ours: conduttore
orig: refiremento 	 languagetool: Escremento 	 correct: riferimento ours: riferimento
orig: é 	 languagetool: e 	 correct: è ours: è
orig: occassione 	 languagetool: Occasione 	 correct: occasione ours: occasione
orig: Anchio 	 languagetool: Anch io 	 correct: Anch'io ours: Anch'io
orig: Anchio 	 languagetool: Anch io 	 correct: Anch'io ours: Anch'io
orig: eticha 	 languagetool: Etica 	 correct: etica ours: etica
orig: esperianza 	 languagetool: Esperanza 	 correct: esperienza ours: esperienza
orig: itoliana 	 languagetool: Italiana 	 correct: italiana ours: italiana
orig: voui 	 languagetool: voci 	 correct: vuoi ours: vuoi
orig: ché 	 languagetool:  	 correct: che ours: che
orig: é 	 languagetool: e 	 correct: è ours: è
orig: Abbraccio 	 languagetool:  	 correct: Abbraccio ours: Abbraccio
orig: e 	 languagetool:  	 correct: è ours: è
orig: occupató 	 languagetool: Occupato 	 correct: occupato ours: occupato
orig: e 	 languagetool:  	 correct: è ours: è
orig: cosi 	 languagetool:  	 correct: così ours: così
orig: cosi 	 languagetool:  	 correct: così ours: così
orig: giocco 	 languagetool: ciocco 	 correct: gioco ours: gioco
orig: Profesoressa 	 languagetool: Professoressa 	 correct: professoressa ours: professoressa
orig: sicomme 	 languagetool: ricolme 	 correct: siccome ours: siccome
orig: fa' 	 languagetool:  	 correct: fa ours: fa
orig: obligatorio 	 languagetool: Obbligatorio 	 correct: obbligatorio ours: obbligatorio
orig: inizo 	 languagetool: Inizi 	 correct: inizio ours: inizio
orig: peró 	 languagetool: pero 	 correct: però ours: però
orig: giono 	 languagetool: Giano 	 correct: giorno ours: giorno
orig: eseme 	 languagetool: Esame 	 correct: esame ours: esame
orig: collegi 	 languagetool:  	 correct: colleghi ours: colleghi
orig: attanzione 	 languagetool: Attenzione 	 correct: attenzione ours: attenzione
orig: cosi 	 languagetool:  	 correct: così ours: così
orig: anuncio 	 languagetool: Annuncio 	 correct: annuncio ours: annuncio
orig: garra 	 languagetool:  	 correct: gara ours: gara
orig: cosi 	 languagetool:  	 correct: così ours: così
orig: Orario 	 languagetool:  	 correct: orario ours: orario
orig: Inglese 	 languagetool:  	 correct: inglese ours: inglese
orig: futtura 	 languagetool: fattura 	 correct: futura ours: futura
orig: intolleraza 	 languagetool: Intolleranza 	 correct: intolleranza ours: intolleranza
orig: assistante 	 languagetool: Assestante 	 correct: assistente ours: assistente
orig: eseme 	 languagetool: Esame 	 correct: esame ours: esame
orig: é 	 languagetool: e 	 correct: è ours: è
orig: aparso 	 languagetool: Apparso 	 correct: apparso ours: apparso
orig: piacce 	 languagetool: diacce 	 correct: piace ours: piace
orig: sitto 	 languagetool: Sisto 	 correct: sito ours: sito
orig: crescuta 	 languagetool: crescita 	 correct: cresciuta ours: cresciuta
orig: è 	 languagetool:  	 correct: e ours: e
orig: alora 	 languagetool: Adora 	 correct: allora ours: allora
orig: opportunita 	 languagetool: Opportunità 	 correct: opportunità ours: opportunità
orig: argumenti 	 languagetool: Argomenti 	 correct: argomenti ours: argomenti
orig: bel' 	 languagetool:  	 correct: bel ours: bel
orig: nell 	 languagetool:  	 correct: nel ours: nel
orig: nell 	 languagetool:  	 correct: nel ours: nel
orig: Nell 	 languagetool:  	 correct: Nel ours: Nel
orig: abilita 	 languagetool:  	 correct: abilità ours: abilità
orig: un' 	 languagetool:  	 correct: un ours: un
orig: al' 	 languagetool:  	 correct: all' ours: all'
orig: asolti 	 languagetool: Ascolti 	 correct: ascolti ours: ascolti
orig: baccio 	 languagetool: Baccio 	 correct: bacio ours: bacio
orig: un' 	 languagetool:  	 correct: un ours: un
orig: cosi 	 languagetool:  	 correct: così ours: così
orig: clinti 	 languagetool: cinti 	 correct: clienti ours: clienti
orig: universita 	 languagetool: Università 	 correct: università ours: università
orig: univerista 	 languagetool: Università 	 correct: università ours: università
orig: tenni 	 languagetool:  	 correct: tennis ours: tennis
orig: Ottobre 	 languagetool:  	 correct: ottobre ours: ottobre
orig: è 	 languagetool:  	 correct: e ours: e
orig: attivita 	 languagetool: Attività 	 correct: attività ours: attività
orig: computere 	 languagetool: competere 	 correct: computer ours: computer
orig: accetazione 	 languagetool: Accentazione 	 correct: accettazione ours: accettazione
orig: é 	 languagetool: e 	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: freda 	 languagetool: Breda 	 correct: fredda ours: fredda
orig: fredo 	 languagetool: Frido 	 correct: freddo ours: freddo
orig: Anchio 	 languagetool: Anch io 	 correct: Anch'io ours: Anch'io
orig: raccette 	 languagetool: accette 	 correct: racchette ours: racchette
orig: un' 	 languagetool:  	 correct: un ours: un
orig: proggetto 	 languagetool: poggetto 	 correct: progetto ours: progetto
orig: proggetto 	 languagetool: poggetto 	 correct: progetto ours: progetto
orig: aiuterá 	 languagetool: Aiuterà 	 correct: aiuterà ours: aiuterà
orig: finanzare 	 languagetool: fidanzare 	 correct: finanziare ours: finanziare
orig: proggetti 	 languagetool: poggetti 	 correct: progetti ours: progetti
orig: piascerebbe 	 languagetool: pascerebbe 	 correct: piacerebbe ours: piacerebbe
orig: organisazione 	 languagetool: Organicazione 	 correct: organizzazione ours: organizzazione
orig: rica 	 languagetool: Rica 	 correct: ricca ours: ricca
orig: grupi 	 languagetool: grumi 	 correct: gruppi ours: gruppi
orig: soddisfata 	 languagetool: soddisfala 	 correct: soddisfatta ours: soddisfatta
orig: inernet 	 languagetool: Internet 	 correct: internet ours: internet
orig: academia 	 languagetool: Accademia 	 correct: accademia ours: accademia
orig: Posibilitta 	 languagetool: Possibilista 	 correct: Possibilità ours: Possibilità
orig: atenzione 	 languagetool: Attenzione 	 correct: attenzione ours: attenzione
orig: valuttati 	 languagetool: valutatati 	 correct: valutati ours: valutati
orig: proggietto 	 languagetool: poggetto 	 correct: progetto ours: progetto
orig: proggieto 	 languagetool: poggiato 	 correct: progetto ours: progetto
orig: a 	 languagetool:  	 correct: ha ours: ha
orig: messi 	 languagetool:  	 correct: mesi ours: mesi
orig: e 	 languagetool:  	 correct: è ours: è
orig: proggieto 	 languagetool: poggiato 	 correct: progetto ours: progetto
orig: aspeti 	 languagetool: Appetì 	 correct: aspetti ours: aspetti
orig: attessa 	 languagetool: Atessa 	 correct: attesa ours: attesa
orig: gugnio 	 languagetool: Eugenio 	 correct: giugno ours: giugno
orig: organizare 	 languagetool: Organicare 	 correct: organizzare ours: organizzare
orig: albergho 	 languagetool: Alberghi 	 correct: albergo ours: albergo
orig: è 	 languagetool:  	 correct: e ours: e
orig: è 	 languagetool:  	 correct: e ours: e
orig: all 	 languagetool:  	 correct: al ours: al
orig: è 	 languagetool:  	 correct: e ours: e
orig: dall 	 languagetool:  	 correct: dal ours: dal
orig: è 	 languagetool:  	 correct: e ours: e
orig: licencia 	 languagetool: licenzia 	 correct: licenza ours: licenza
orig: Saluti 	 languagetool:  	 correct: saluti ours: saluti
orig: In 	 languagetool:  	 correct: in ours: in
orig: e 	 languagetool:  	 correct: è ours: è
orig: e 	 languagetool:  	 correct: è ours: è
orig: Nel 	 languagetool:  	 correct: nel ours: nel
orig: organiziate 	 languagetool: Organizzate 	 correct: organizzate ours: organizzate
orig: bugardi 	 languagetool: begardi 	 correct: bugiardi ours: bugiardi
orig: auitante 	 languagetool: Abitante 	 correct: aiutante ours: aiutante
orig: anziche 	 languagetool: Anziché 	 correct: anziché ours: anziché
orig: imaginarmi 	 languagetool: Immaginarmi 	 correct: immaginarmi ours: immaginarmi
orig: e 	 languagetool:  	 correct: è ours: è
orig: e 	 languagetool:  	 correct: è ours: è
orig: Al' 	 languagetool:  	 correct: All' ours: All'
orig: spezzialista 	 languagetool: spazialista 	 correct: specialista ours: specialista
orig: é 	 languagetool: e 	 correct: è ours: è
orig: cercho 	 languagetool: cerchi 	 correct: cerco ours: cerco
orig: é 	 languagetool: e 	 correct: è ours: è
orig: anuncio 	 languagetool: Annuncio 	 correct: annuncio ours: annuncio
orig: acount 	 languagetool: Account 	 correct: account ours: account
orig: acount 	 languagetool: Account 	 correct: account ours: account
orig: acount 	 languagetool: Account 	 correct: account ours: account
orig: modele 	 languagetool: modale 	 correct: modelle ours: modelle
orig: modele 	 languagetool: modale 	 correct: modelle ours: modelle
orig: detagli 	 languagetool: datagli 	 correct: dettagli ours: dettagli
orig: vasce 	 languagetool: Vasco 	 correct: vasche ours: vasche
orig: organizata 	 languagetool: Organicata 	 correct: organizzata ours: organizzata
orig: diffeto 	 languagetool: biffato 	 correct: difetto ours: difetto
orig: gioccando 	 languagetool: fioccando 	 correct: giocando ours: giocando
orig: un' 	 languagetool:  	 correct: un ours: un
orig: experienza 	 languagetool: Esperienza 	 correct: esperienza ours: esperienza
orig: abbilliamento 	 languagetool: Abbigliamento 	 correct: abbigliamento ours: abbigliamento
orig: é 	 languagetool: e 	 correct: è ours: è
orig: attivita 	 languagetool: Attività 	 correct: attività ours: attività
orig: preso 	 languagetool:  	 correct: presso ours: presso
orig: Italiana 	 languagetool:  	 correct: italiana ours: italiana
orig: istituto 	 languagetool:  	 correct: Istituto ours: Istituto
orig: e 	 languagetool:  	 correct: è ours: è
orig: Com 	 languagetool:  	 correct: Con ours: Con
orig: felicitá 	 languagetool: felicita 	 correct: felicità ours: felicità
orig: Ringrazio 	 languagetool:  	 correct: ringrazio ours: ringrazio
orig: Novembre 	 languagetool:  	 correct: novembre ours: novembre
orig: Regalare 	 languagetool:  	 correct: regalare ours: regalare
orig: cosí 	 languagetool: cosi 	 correct: così ours: così
orig: Ringrazio 	 languagetool:  	 correct: ringrazio ours: ringrazio
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: moltto 	 languagetool: molato 	 correct: molto ours: molto
orig: moltto 	 languagetool: molato 	 correct: molto ours: molto
orig: Presto 	 languagetool:  	 correct: presto ours: presto
orig: Ti 	 languagetool:  	 correct: ti ours: ti
orig: cuando 	 languagetool: cando 	 correct: quando ours: quando
orig: cuando 	 languagetool: cando 	 correct: quando ours: quando
orig: bacci 	 languagetool: Baccio 	 correct: baci ours: baci
orig: Famiglia 	 languagetool:  	 correct: famiglia ours: famiglia
orig: Voi 	 languagetool:  	 correct: voi ours: voi
orig: bacci 	 languagetool: Baccio 	 correct: baci ours: baci
orig: Vi 	 languagetool:  	 correct: vi ours: vi
orig: compare 	 languagetool:  	 correct: comprare ours: comprare
orig: farre 	 languagetool: Carrè 	 correct: fare ours: fare
orig: Baci 	 languagetool:  	 correct: baci ours: baci
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: recivuto 	 languagetool: receduto 	 correct: ricevuto ours: ricevuto
orig: abbarcio 	 languagetool: Abbarco 	 correct: abbraccio ours: abbraccio
orig: Agosto 	 languagetool:  	 correct: agosto ours: agosto
orig: bacci 	 languagetool: Baccio 	 correct: baci ours: baci
orig: Maggio 	 languagetool:  	 correct: maggio ours: maggio
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: cosi 	 languagetool:  	 correct: così ours: così
orig: natal 	 languagetool: Natan 	 correct: natale ours: natale
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: cosi 	 languagetool:  	 correct: così ours: così
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: Auguri 	 languagetool:  	 correct: auguri ours: auguri
orig: Matrimonio 	 languagetool:  	 correct: matrimonio ours: matrimonio
orig: Sará 	 languagetool: Sara 	 correct: Sarà ours: Sarà
orig: picolo 	 languagetool: Nicolò 	 correct: piccolo ours: piccolo
orig: obbgetto 	 languagetool: Obbietto 	 correct: oggetto ours: oggetto
orig: é 	 languagetool: e 	 correct: è ours: è
orig: Settimana 	 languagetool:  	 correct: settimana ours: settimana
orig: viccino 	 languagetool: piccino 	 correct: vicino ours: vicino
orig: recevere 	 languagetool: recedere 	 correct: ricevere ours: ricevere
orig: sará 	 languagetool: Sara 	 correct: sarà ours: sarà
orig: Io 	 languagetool:  	 correct: io ours: io
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: aguri 	 languagetool: Auguri 	 correct: auguri ours: auguri
orig: mile 	 languagetool: Cile 	 correct: mille ours: mille
orig: é 	 languagetool: e 	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: Perche 	 languagetool: Perché 	 correct: perché ours: perché
orig: belissimo 	 languagetool: belassimo 	 correct: bellissimo ours: bellissimo
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: Regalo 	 languagetool:  	 correct: regalo ours: regalo
orig: Marzo 	 languagetool:  	 correct: marzo ours: marzo
orig: Novembre 	 languagetool:  	 correct: novembre ours: novembre
orig: avró 	 languagetool: Avrò 	 correct: avrò ours: avrò
orig: fará 	 languagetool: Fara 	 correct: farà ours: farà
orig: perche 	 languagetool: perché 	 correct: Perché ours: Perché
orig: Io 	 languagetool:  	 correct: io ours: io
orig: é 	 languagetool: e 	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: sará 	 languagetool: Sara 	 correct: sarà ours: sarà
orig: é 	 languagetool: e 	 correct: è ours: è
orig: sepciale 	 languagetool: selciale 	 correct: speciale ours: speciale
orig: abbitare 	 languagetool: Abbicare 	 correct: abitare ours: abitare
orig: é 	 languagetool: e 	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: é 	 languagetool: e 	 correct: è ours: è
orig: cità 	 languagetool: cita 	 correct: città ours: città
orig: cavagliere 	 languagetool: cavagliele 	 correct: cavaliere ours: cavaliere
orig: obligatorio 	 languagetool: Obbligatorio 	 correct: obbligatorio ours: obbligatorio
orig: allbergo 	 languagetool: Albergo 	 correct: albergo ours: albergo
orig: avró 	 languagetool: Avrò 	 correct: avrò ours: avrò
orig: faró 	 languagetool: faro 	 correct: farò ours: farò
orig: sorpressa 	 languagetool: soppressa 	 correct: sorpresa ours: sorpresa
orig: universita 	 languagetool: Università 	 correct: università ours: università
orig: Qualge 	 languagetool: Quale 	 correct: Qualche ours: Qualche
orig: é 	 languagetool: e 	 correct: è ours: è
orig: è 	 languagetool:  	 correct: e ours: e
orig: peró 	 languagetool: pero 	 correct: però ours: però
orig: sará 	 languagetool: Sara 	 correct: Sarà ours: Sarà
orig: Inglese 	 languagetool:  	 correct: inglese ours: inglese
orig: è 	 languagetool:  	 correct: e ours: e
orig: è 	 languagetool:  	 correct: e ours: e
orig: bacci 	 languagetool: Baccio 	 correct: baci ours: baci
orig: anchora 	 languagetool: Ancora 	 correct: ancora ours: ancora
orig: organizare 	 languagetool: Organicare 	 correct: organizzare ours: organizzare
orig: aria 	 languagetool:  	 correct: area ours: area
orig: augosto 	 languagetool: Agosto 	 correct: agosto ours: agosto
orig: allbergho 	 languagetool: Alberghi 	 correct: albergo ours: albergo
orig: architecto 	 languagetool: Architetto 	 correct: architetto ours: architetto
orig: annulare 	 languagetool: Annullare 	 correct: annullare ours: annullare
orig: doppo 	 languagetool: coppo 	 correct: dopo ours: dopo
orig: essatamente 	 languagetool: Issatamene 	 correct: esattamente ours: esattamente
orig: Caro 	 languagetool:  	 correct: caro ours: caro
orig: sara 	 languagetool: Sara 	 correct: sarà ours: sarà
orig: anchè 	 languagetool:  	 correct: anche ours: anche
orig: albergi 	 languagetool: Albeggi 	 correct: alberghi ours: alberghi
orig: Università 	 languagetool:  	 correct: università ours: università
orig: invence 	 languagetool: Invece 	 correct: invece ours: invece
orig: imperio 	 languagetool:  	 correct: impero ours: impero
orig: interressa 	 languagetool: Interessa 	 correct: interessa ours: interessa
orig: Ancoro 	 languagetool:  	 correct: Ancora ours: Ancora
orig: Luglio 	 languagetool:  	 correct: luglio ours: luglio
orig: Cosí 	 languagetool: Cosi 	 correct: Così ours: Così
orig: avró 	 languagetool: Avrò 	 correct: avrò ours: avrò
orig: Saluti 	 languagetool:  	 correct: saluti ours: saluti
orig: corriere 	 languagetool:  	 correct: Corriere ours: Corriere
orig: e 	 languagetool:  	 correct: è ours: è
orig: è 	 languagetool:  	 correct: e ours: e
orig: pacerebbe 	 languagetool: bacerebbe 	 correct: piacerebbe ours: piacerebbe
orig: allogio 	 languagetool: Allodio 	 correct: alloggio ours: alloggio
orig: Italiana 	 languagetool:  	 correct: italiana ours: italiana
orig: Italiano 	 languagetool:  	 correct: italiano ours: italiano
orig: Italiano 	 languagetool:  	 correct: italiano ours: italiano
orig: allogio 	 languagetool: Allodio 	 correct: alloggio ours: alloggio
orig: Università 	 languagetool:  	 correct: università ours: università
orig: Mammina 	 languagetool:  	 correct: mammina ours: mammina
orig: piacciere 	 languagetool: bracciere 	 correct: piacere ours: piacere
orig: Ci 	 languagetool:  	 correct: ci ours: ci
orig: Lasciatemi 	 languagetool:  	 correct: lasciatemi ours: lasciatemi
orig: Febbraio 	 languagetool:  	 correct: febbraio ours: febbraio
orig: essatamente 	 languagetool: Issatamene 	 correct: esattamente ours: esattamente
orig: pocca 	 languagetool: bocca 	 correct: poca ours: poca
orig: Novembre 	 languagetool:  	 correct: novembre ours: novembre
