Languagetool gets right: 13772
Out of: 38698
Accuracy: 0.356

LT correct + ours correct: 8131
LT correct + ours incorrect: 5641
LT incorrect + ours correct: 7051
LT incorrect + ours incorrect: 17875

############ Correct by Languagetool, correct by us ##########
orig: wolte 	 correct: wollte ours: wollte
orig: vosichtig 	 correct: vorsichtig ours: vorsichtig
orig: balt 	 correct: bald ours: bald
orig: lamgsam 	 correct: langsam ours: langsam
orig: richt 	 correct: nicht ours: nicht
orig: gans 	 correct: ganz ours: ganz
orig: kan 	 correct: kann ours: kann
orig: angst 	 correct: Angst ours: Angst
orig: frsucht 	 correct: versucht ours: versucht
orig: wolte 	 correct: wollte ours: wollte
orig: zusamen 	 correct: zusammen ours: zusammen
orig: zusamen 	 correct: zusammen ours: zusammen
orig: fertich 	 correct: fertig ours: fertig
orig: zusamen 	 correct: zusammen ours: zusammen
orig: geschaft 	 correct: geschafft ours: geschafft
orig: kaput 	 correct: kaputt ours: kaputt
orig: vast 	 correct: fast ours: fast
orig: dan 	 correct: dann ours: dann
orig: varzucht 	 correct: versucht ours: versucht
orig: par 	 correct: paar ours: paar
orig: zusamen 	 correct: zusammen ours: zusammen
orig: rennd 	 correct: rennt ours: rennt
orig: fersucht 	 correct: versucht ours: versucht
orig: minuten 	 correct: Minuten ours: Minuten
orig: zürck 	 correct: zurück ours: zurück
orig: herfor 	 correct: hervor ours: hervor
orig: Plölzlich 	 correct: Plötzlich ours: Plötzlich
orig: sichs 	 correct: sich ours: sich
orig: spilen 	 correct: spielen ours: spielen
orig: sizen 	 correct: sitzen ours: sitzen
orig: spilen 	 correct: spielen ours: spielen
orig: turm 	 correct: Turm ours: Turm
orig: is 	 correct: ist ours: ist
orig: doktor 	 correct: Doktor ours: Doktor
orig: get 	 correct: geht ours: geht
orig: vertig 	 correct: fertig ours: fertig
orig: sitsen 	 correct: sitzen ours: sitzen
orig: burg 	 correct: Burg ours: Burg
orig: kaput 	 correct: kaputt ours: kaputt
orig: lars 	 correct: Lars ours: Lars
orig: doktor 	 correct: Doktor ours: Doktor
orig: Schmertz 	 correct: Schmerz ours: Schmerz
orig: lars 	 correct: Lars ours: Lars
orig: burg 	 correct: Burg ours: Burg
orig: asu 	 correct: aus ours: aus
orig: damind 	 correct: damit ours: damit
orig: solte 	 correct: sollte ours: sollte
orig: zo 	 correct: so ours: so
orig: faren 	 correct: waren ours: waren
orig: dan 	 correct: dann ours: dann
orig: gleine 	 correct: kleine ours: kleine
orig: eem-acht 	 correct: gemacht ours: gemacht
orig: boden 	 correct: Boden ours: Boden
orig: gefalen 	 correct: gefallen ours: gefallen
orig: der 	 correct: Der ours: Der
orig: nevös 	 correct: nervös ours: nervös
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: steine 	 correct: Steine ours: Steine
orig: frölich 	 correct: fröhlich ours: fröhlich
orig: spilen 	 correct: spielen ours: spielen
orig: fertich 	 correct: fertig ours: fertig
orig: lars 	 correct: Lars ours: Lars
orig: gefalen 	 correct: gefallen ours: gefallen
orig: merkien 	 correct: merken ours: merken
orig: dan 	 correct: dann ours: dann
orig: komt 	 correct: kommt ours: kommt
orig: alex 	 correct: Alex ours: Alex
orig: burg 	 correct: Burg ours: Burg
orig: denn 	 correct: den ours: den
orig: kaput 	 correct: kaputt ours: kaputt
orig: disen 	 correct: diesen ours: diesen
orig: burg 	 correct: Burg ours: Burg
orig: erschrekt 	 correct: erschreckt ours: erschreckt
orig: disen 	 correct: diesen ours: diesen
orig: vast 	 correct: fast ours: fast
orig: soga 	 correct: sogar ours: sogar
orig: Findet 	 correct: findet ours: findet
orig: beser 	 correct: besser ours: besser
orig: steine 	 correct: Steine ours: Steine
orig: bewekt 	 correct: bewegt ours: bewegt
orig: brcht 	 correct: bricht ours: bricht
orig: wol 	 correct: wohl ours: wohl
orig: fur 	 correct: für ours: für
orig: sint 	 correct: sind ours: sind
orig: aein 	 correct: ein ours: ein
orig: aein 	 correct: ein ours: ein
orig: Staine 	 correct: Steine ours: Steine
orig: stücke 	 correct: Stücke ours: Stücke
orig: Jeder 	 correct: jeder ours: jeder
orig: besuch 	 correct: Besuch ours: Besuch
orig: minuten 	 correct: Minuten ours: Minuten
orig: sätzt 	 correct: setzt ours: setzt
orig: zeit 	 correct: Zeit ours: Zeit
orig: einziege 	 correct: einzige ours: einzige
orig: einziege 	 correct: einzige ours: einzige
orig: einffach 	 correct: einfach ours: einfach
orig: geschpielt 	 correct: gespielt ours: gespielt
orig: hatt 	 correct: hat ours: hat
orig: hatt 	 correct: hat ours: hat
orig: kaput 	 correct: kaputt ours: kaputt
orig: boden 	 correct: Boden ours: Boden
orig: Alle 	 correct: alle ours: alle
orig: Bellt 	 correct: bellt ours: bellt
orig: stekte 	 correct: steckte ours: steckte
orig: Korper 	 correct: Körper ours: Körper
orig: woh 	 correct: wo ours: wo
orig: geffalen 	 correct: gefallen ours: gefallen
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: turm 	 correct: Turm ours: Turm
orig: liencks 	 correct: links ours: links
orig: Haltet 	 correct: haltet ours: haltet
orig: felix 	 correct: Felix ours: Felix
orig: turm 	 correct: Turm ours: Turm
orig: turm 	 correct: Turm ours: Turm
orig: lecheln 	 correct: lächeln ours: lächeln
orig: turm 	 correct: Turm ours: Turm
orig: turm 	 correct: Turm ours: Turm
orig: kaput 	 correct: kaputt ours: kaputt
orig: unt 	 correct: und ours: und
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: wishen 	 correct: wissen ours: wissen
orig: turm 	 correct: Turm ours: Turm
orig: Die 	 correct: die ours: die
orig: alle 	 correct: Alle ours: Alle
orig: Kartong 	 correct: Karton ours: Karton
orig: dan 	 correct: dann ours: dann
orig: SPiel 	 correct: Spiel ours: Spiel
orig: Burk 	 correct: Burg ours: Burg
orig: Burk 	 correct: Burg ours: Burg
orig: gefalen 	 correct: gefallen ours: gefallen
orig: spilen 	 correct: spielen ours: spielen
orig: turm 	 correct: Turm ours: Turm
orig: fertich 	 correct: fertig ours: fertig
orig: plözlich 	 correct: plötzlich ours: plötzlich
orig: vest 	 correct: fest ours: fest
orig: versucrt 	 correct: versucht ours: versucht
orig: kinder 	 correct: Kinder ours: Kinder
orig: undter 	 correct: unter ours: unter
orig: Kartong 	 correct: Karton ours: Karton
orig: lars 	 correct: Lars ours: Lars
orig: schachtel 	 correct: Schachtel ours: Schachtel
orig: kletern 	 correct: klettern ours: klettern
orig: dan 	 correct: dann ours: dann
orig: undter 	 correct: unter ours: unter
orig: hinn 	 correct: hin ours: hin
orig: kaput 	 correct: kaputt ours: kaputt
orig: bauhen 	 correct: bauen ours: bauen
orig: solte 	 correct: sollte ours: sollte
orig: eigentich 	 correct: eigentlich ours: eigentlich
orig: drausen 	 correct: draußen ours: draußen
orig: kiste 	 correct: Kiste ours: Kiste
orig: gemu-glich 	 correct: gemütlich ours: gemütlich
orig: vertig 	 correct: fertig ours: fertig
orig: wolte 	 correct: wollte ours: wollte
orig: vest 	 correct: fest ours: fest
orig: vest 	 correct: fest ours: fest
orig: susamen 	 correct: zusammen ours: zusammen
orig: boden 	 correct: Boden ours: Boden
orig: fiartig 	 correct: fertig ours: fertig
orig: fersteckt 	 correct: versteckt ours: versteckt
orig: fiartig 	 correct: fertig ours: fertig
orig: Sich 	 correct: sich ours: sich
orig: auh 	 correct: auch ours: auch
orig: Kartong 	 correct: Karton ours: Karton
orig: gefahlen 	 correct: gefallen ours: gefallen
orig: fäst 	 correct: fest ours: fest
orig: kaput 	 correct: kaputt ours: kaputt
orig: siend 	 correct: sind ours: sind
orig: vertig 	 correct: fertig ours: fertig
orig: herraus 	 correct: heraus ours: heraus
orig: gans 	 correct: ganz ours: ganz
orig: steine 	 correct: Steine ours: Steine
orig: Jezt 	 correct: Jetzt ours: Jetzt
orig: stein 	 correct: Stein ours: Stein
orig: ge-schockt 	 correct: geschockt ours: geschockt
orig: schnel 	 correct: schnell ours: schnell
orig: wek 	 correct: weg ours: weg
orig: fro 	 correct: froh ours: froh
orig: lars 	 correct: Lars ours: Lars
orig: Kartong 	 correct: Karton ours: Karton
orig: lars 	 correct: Lars ours: Lars
orig: turm 	 correct: Turm ours: Turm
orig: lars 	 correct: Lars ours: Lars
orig: ferzweifelt 	 correct: verzweifelt ours: verzweifelt
orig: ruhe 	 correct: Ruhe ours: Ruhe
orig: veertig 	 correct: fertig ours: fertig
orig: turm 	 correct: Turm ours: Turm
orig: hatt 	 correct: hat ours: hat
orig: Bellt 	 correct: bellt ours: bellt
orig: EndE 	 correct: Ende ours: Ende
orig: turm 	 correct: Turm ours: Turm
orig: Kiston 	 correct: Kisten ours: Kisten
orig: gespant 	 correct: gespannt ours: gespannt
orig: Legt 	 correct: legt ours: legt
orig: tom 	 correct: Tom ours: Tom
orig: sint 	 correct: sind ours: sind
orig: kiste 	 correct: Kiste ours: Kiste
orig: gecht 	 correct: geht ours: geht
orig: kiste 	 correct: Kiste ours: Kiste
orig: steine 	 correct: Steine ours: Steine
orig: kiste 	 correct: Kiste ours: Kiste
orig: gecht 	 correct: geht ours: geht
orig: dan 	 correct: dann ours: dann
orig: geschaft 	 correct: geschafft ours: geschafft
orig: dan 	 correct: dann ours: dann
orig: Zum 	 correct: zum ours: zum
orig: kreftig 	 correct: kräftig ours: kräftig
orig: Geht 	 correct: geht ours: geht
orig: erschrekt 	 correct: erschreckt ours: erschreckt
orig: zussammen 	 correct: zusammen ours: zusammen
orig: bissjen 	 correct: bisschen ours: bisschen
orig: konsentrirt 	 correct: konzentriert ours: konzentriert
orig: Letzten 	 correct: letzten ours: letzten
orig: fil 	 correct: fiel ours: fiel
orig: spilen 	 correct: spielen ours: spielen
orig: zeit 	 correct: Zeit ours: Zeit
orig: kaput 	 correct: kaputt ours: kaputt
orig: susi 	 correct: Susi ours: Susi
orig: komt 	 correct: kommt ours: kommt
orig: turm 	 correct: Turm ours: Turm
orig: turm 	 correct: Turm ours: Turm
orig: kaput 	 correct: kaputt ours: kaputt
orig: turm 	 correct: Turm ours: Turm
orig: stück 	 correct: Stück ours: Stück
orig: herfor 	 correct: hervor ours: hervor
orig: lars 	 correct: Lars ours: Lars
orig: lars 	 correct: Lars ours: Lars
orig: bild 	 correct: Bild ours: Bild
orig: wolte 	 correct: wollte ours: wollte
orig: lars 	 correct: Lars ours: Lars
orig: bild 	 correct: Bild ours: Bild
orig: gefalen 	 correct: gefallen ours: gefallen
orig: schluss 	 correct: Schluss ours: Schluss
orig: lars 	 correct: Lars ours: Lars
orig: karton 	 correct: Karton ours: Karton
orig: komt 	 correct: kommt ours: kommt
orig: bemergen 	 correct: bemerken ours: bemerken
orig: wolte 	 correct: wollte ours: wollte
orig: burg 	 correct: Burg ours: Burg
orig: fersucht 	 correct: versucht ours: versucht
orig: gefracht 	 correct: gefragt ours: gefragt
orig: komt 	 correct: kommt ours: kommt
orig: Eende 	 correct: Ende ours: Ende
orig: runeta 	 correct: runter ours: runter
orig: kapurt 	 correct: kaputt ours: kaputt
orig: unt 	 correct: und ours: und
orig: turm 	 correct: Turm ours: Turm
orig: dan 	 correct: dann ours: dann
orig: gegagan 	 correct: gegangen ours: gegangen
orig: komt 	 correct: kommt ours: kommt
orig: komt 	 correct: kommt ours: kommt
orig: komt 	 correct: kommt ours: kommt
orig: biss 	 correct: bis ours: bis
orig: mitte 	 correct: Mitte ours: Mitte
orig: Eeinen 	 correct: Einen ours: Einen
orig: komt 	 correct: kommt ours: kommt
orig: dan 	 correct: dann ours: dann
orig: gespiel 	 correct: gespielt ours: gespielt
orig: Burk 	 correct: Burg ours: Burg
orig: steine 	 correct: Steine ours: Steine
orig: siend 	 correct: sind ours: sind
orig: sitsen 	 correct: sitzen ours: sitzen
orig: geschaft 	 correct: geschafft ours: geschafft
orig: eimal 	 correct: einmal ours: einmal
orig: disen 	 correct: diesen ours: diesen
orig: haht 	 correct: hat ours: hat
orig: dan 	 correct: dann ours: dann
orig: herrausgefunden 	 correct: herausgefunden ours: herausgefunden
orig: sakt 	 correct: sagt ours: sagt
orig: könte 	 correct: könnte ours: könnte
orig: dan 	 correct: dann ours: dann
orig: spilen 	 correct: spielen ours: spielen
orig: gaht 	 correct: geht ours: geht
orig: seite 	 correct: Seite ours: Seite
orig: geist 	 correct: Geist ours: Geist
orig: stein 	 correct: Stein ours: Stein
orig: Türm 	 correct: Turm ours: Turm
orig: gröser 	 correct: größer ours: größer
orig: Türm 	 correct: Turm ours: Turm
orig: vest 	 correct: fest ours: fest
orig: Türm 	 correct: Turm ours: Turm
orig: gans 	 correct: ganz ours: ganz
orig: ferhtich 	 correct: fertig ours: fertig
orig: Haben 	 correct: haben ours: haben
orig: vorsichtg 	 correct: vorsichtig ours: vorsichtig
orig: neugirig 	 correct: neugierig ours: neugierig
orig: stehn 	 correct: stehen ours: stehen
orig: beschloß 	 correct: beschloss ours: beschloss
orig: Achtug 	 correct: Achtung ours: Achtung
orig: kaput 	 correct: kaputt ours: kaputt
orig: Poblem 	 correct: Problem ours: Problem
orig: lars 	 correct: Lars ours: Lars
orig: beine 	 correct: Beine ours: Beine
orig: turm 	 correct: Turm ours: Turm
orig: una 	 correct: und ours: und
orig: sPielen 	 correct: spielen ours: spielen
orig: Fast 	 correct: fast ours: fast
orig: turm 	 correct: Turm ours: Turm
orig: gessehen 	 correct: gesehen ours: gesehen
orig: kiste 	 correct: Kiste ours: Kiste
orig: fertik 	 correct: fertig ours: fertig
orig: drinn 	 correct: drin ours: drin
orig: fertik 	 correct: fertig ours: fertig
orig: dan 	 correct: dann ours: dann
orig: kaput 	 correct: kaputt ours: kaputt
orig: Fritzt 	 correct: Fritz ours: Fritz
orig: ge-baut 	 correct: gebaut ours: gebaut
orig: Burk 	 correct: Burg ours: Burg
orig: Burk 	 correct: Burg ours: Burg
orig: Burk 	 correct: Burg ours: Burg
orig: spaß 	 correct: Spaß ours: Spaß
orig: spaß 	 correct: Spaß ours: Spaß
orig: ausieht 	 correct: aussieht ours: aussieht
orig: kaput 	 correct: kaputt ours: kaputt
orig: fengt 	 correct: fängt ours: fängt
orig: gesichter 	 correct: Gesichter ours: Gesichter
orig: bild 	 correct: Bild ours: Bild
orig: stühle 	 correct: Stühle ours: Stühle
orig: bild 	 correct: Bild ours: Bild
orig: setsen 	 correct: setzen ours: setzen
orig: siend 	 correct: sind ours: sind
orig: Schwer 	 correct: schwer ours: schwer
orig: Feliexs 	 correct: Felix ours: Felix
orig: stein 	 correct: Stein ours: Stein
orig: Feliexs 	 correct: Felix ours: Felix
orig: Felixs 	 correct: Felix ours: Felix
orig: kiste 	 correct: Kiste ours: Kiste
orig: Feliexs 	 correct: Felix ours: Felix
orig: kiste 	 correct: Kiste ours: Kiste
orig: Felixs 	 correct: Felix ours: Felix
orig: turm 	 correct: Turm ours: Turm
orig: kiste 	 correct: Kiste ours: Kiste
orig: burg 	 correct: Burg ours: Burg
orig: platz 	 correct: Platz ours: Platz
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: boden 	 correct: Boden ours: Boden
orig: Burk 	 correct: Burg ours: Burg
orig: wolte 	 correct: wollte ours: wollte
orig: Burk 	 correct: Burg ours: Burg
orig: kaput 	 correct: kaputt ours: kaputt
orig: vest 	 correct: fest ours: fest
orig: sist 	 correct: ist ours: ist
orig: dan 	 correct: dann ours: dann
orig: baber 	 correct: aber ours: aber
orig: burg 	 correct: Burg ours: Burg
orig: fersucht 	 correct: versucht ours: versucht
orig: dan 	 correct: dann ours: dann
orig: wol 	 correct: wohl ours: wohl
orig: drinn 	 correct: drin ours: drin
orig: gett 	 correct: geht ours: geht
orig: bestimt 	 correct: bestimmt ours: bestimmt
orig: is 	 correct: ist ours: ist
orig: boden 	 correct: Boden ours: Boden
orig: Spil 	 correct: Spiel ours: Spiel
orig: falen 	 correct: fallen ours: fallen
orig: fengt 	 correct: fängt ours: fängt
orig: weckseln 	 correct: wechseln ours: wechseln
orig: Kartong 	 correct: Karton ours: Karton
orig: kiste 	 correct: Kiste ours: Kiste
orig: Das 	 correct: das ours: das
orig: hand 	 correct: Hand ours: Hand
orig: zusamen 	 correct: zusammen ours: zusammen
orig: kiste 	 correct: Kiste ours: Kiste
orig: steine 	 correct: Steine ours: Steine
orig: steine 	 correct: Steine ours: Steine
orig: Gelacht 	 correct: gelacht ours: gelacht
orig: forsichtich 	 correct: vorsichtig ours: vorsichtig
orig: Wo 	 correct: wo ours: wo
orig: machnn 	 correct: machen ours: machen
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: kaput 	 correct: kaputt ours: kaputt
orig: dan 	 correct: dann ours: dann
orig: kiste 	 correct: Kiste ours: Kiste
orig: Sammstag 	 correct: Samstag ours: Samstag
orig: kiste 	 correct: Kiste ours: Kiste
orig: kiste 	 correct: Kiste ours: Kiste
orig: dan 	 correct: dann ours: dann
orig: hingesezt 	 correct: hingesetzt ours: hingesetzt
orig: lars 	 correct: Lars ours: Lars
orig: Das 	 correct: das ours: das
orig: vertig 	 correct: fertig ours: fertig
orig: glück 	 correct: Glück ours: Glück
orig: gehrade 	 correct: gerade ours: gerade
orig: Kartog 	 correct: Karton ours: Karton
orig: gehgangen 	 correct: gegangen ours: gegangen
orig: kaput 	 correct: kaputt ours: kaputt
orig: steine 	 correct: Steine ours: Steine
orig: karton 	 correct: Karton ours: Karton
orig: geschaft 	 correct: geschafft ours: geschafft
orig: fersucht 	 correct: versucht ours: versucht
orig: turm 	 correct: Turm ours: Turm
orig: gröser 	 correct: größer ours: größer
orig: turm 	 correct: Turm ours: Turm
orig: turm 	 correct: Turm ours: Turm
orig: turm 	 correct: Turm ours: Turm
orig: gans 	 correct: ganz ours: ganz
orig: kan 	 correct: kann ours: kann
orig: komt 	 correct: kommt ours: kommt
orig: kabut 	 correct: kaputt ours: kaputt
orig: buen 	 correct: bauen ours: bauen
orig: burg 	 correct: Burg ours: Burg
orig: burg 	 correct: Burg ours: Burg
orig: freund 	 correct: Freund ours: Freund
orig: ferapredeten 	 correct: verabredeten ours: verabredeten
orig: spielen 	 correct: Spielen ours: Spielen
orig: turm 	 correct: Turm ours: Turm
orig: wolte 	 correct: wollte ours: wollte
orig: seite 	 correct: Seite ours: Seite
orig: boden 	 correct: Boden ours: Boden
orig: ferabschideten 	 correct: verabschiedeten ours: verabschiedeten
orig: verschteckt 	 correct: versteckt ours: versteckt
orig: steine 	 correct: Steine ours: Steine
orig: Bellt 	 correct: bellt ours: bellt
orig: fersucht 	 correct: versucht ours: versucht
orig: wolte 	 correct: wollte ours: wollte
orig: wolte 	 correct: wollte ours: wollte
orig: klötze 	 correct: Klötze ours: Klötze
orig: könte 	 correct: könnte ours: könnte
orig: füse 	 correct: Füße ours: Füße
orig: komt 	 correct: kommt ours: kommt
orig: spilen 	 correct: spielen ours: spielen
orig: kabunt 	 correct: kaputt ours: kaputt
orig: wider 	 correct: wieder ours: wieder
orig: tages 	 correct: Tages ours: Tages
orig: kopf 	 correct: Kopf ours: Kopf
orig: gewackeld 	 correct: gewackelt ours: gewackelt
orig: stein 	 correct: Stein ours: Stein
orig: boden 	 correct: Boden ours: Boden
orig: boden 	 correct: Boden ours: Boden
orig: gefahlen 	 correct: gefallen ours: gefallen
orig: par 	 correct: paar ours: paar
orig: wolte 	 correct: wollte ours: wollte
orig: wolte 	 correct: wollte ours: wollte
orig: beckam 	 correct: bekam ours: bekam
orig: Gesprungen 	 correct: gesprungen ours: gesprungen
orig: gefalen 	 correct: gefallen ours: gefallen
orig: Kartong 	 correct: Karton ours: Karton
orig: hilfe 	 correct: Hilfe ours: Hilfe
orig: Kartong 	 correct: Karton ours: Karton
orig: Kartong 	 correct: Karton ours: Karton
orig: herraus 	 correct: heraus ours: heraus
orig: schreck 	 correct: Schreck ours: Schreck
orig: Petrik 	 correct: Patrick ours: Patrick
orig: turm 	 correct: Turm ours: Turm
orig: kiste 	 correct: Kiste ours: Kiste
orig: Petrik 	 correct: Patrick ours: Patrick
orig: wolte 	 correct: wollte ours: wollte
orig: steine 	 correct: Steine ours: Steine
orig: platz 	 correct: Platz ours: Platz
orig: wolte 	 correct: wollte ours: wollte
orig: kaput 	 correct: kaputt ours: kaputt
orig: rauß 	 correct: raus ours: raus
orig: besuch 	 correct: Besuch ours: Besuch
orig: turm 	 correct: Turm ours: Turm
orig: karton 	 correct: Karton ours: Karton
orig: turm 	 correct: Turm ours: Turm
orig: Kartong 	 correct: Karton ours: Karton
orig: Jezt 	 correct: Jetzt ours: Jetzt
orig: turm 	 correct: Turm ours: Turm
orig: kaput 	 correct: kaputt ours: kaputt
orig: besuch 	 correct: Besuch ours: Besuch
orig: gefalen 	 correct: gefallen ours: gefallen
orig: rauß 	 correct: raus ours: raus
orig: stein 	 correct: Stein ours: Stein
orig: wolte 	 correct: wollte ours: wollte
orig: tode 	 correct: Tode ours: Tode
orig: geist 	 correct: Geist ours: Geist
orig: steine 	 correct: Steine ours: Steine
orig: kiste 	 correct: Kiste ours: Kiste
orig: turm 	 correct: Turm ours: Turm
orig: kaput 	 correct: kaputt ours: kaputt
orig: momo 	 correct: Momo ours: Momo
orig: momo 	 correct: Momo ours: Momo
orig: weider 	 correct: weiter ours: weiter
orig: kinder 	 correct: Kinder ours: Kinder
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: zeit 	 correct: Zeit ours: Zeit
orig: momend 	 correct: Moment ours: Moment
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: turm 	 correct: Turm ours: Turm
orig: kaput 	 correct: kaputt ours: kaputt
orig: niht 	 correct: nicht ours: nicht
orig: kaput 	 correct: kaputt ours: kaputt
orig: spilen 	 correct: spielen ours: spielen
orig: turm 	 correct: Turm ours: Turm
orig: gantz 	 correct: ganz ours: ganz
orig: turm 	 correct: Turm ours: Turm
orig: vertig 	 correct: fertig ours: fertig
orig: dan 	 correct: dann ours: dann
orig: spilen 	 correct: spielen ours: spielen
orig: kiste 	 correct: Kiste ours: Kiste
orig: entlich 	 correct: endlich ours: endlich
orig: kopf 	 correct: Kopf ours: Kopf
orig: vest 	 correct: fest ours: fest
orig: lars 	 correct: Lars ours: Lars
orig: boden 	 correct: Boden ours: Boden
orig: komt 	 correct: kommt ours: kommt
orig: komt 	 correct: kommt ours: kommt
orig: glüklich 	 correct: glücklich ours: glücklich
orig: oTTo 	 correct: Otto ours: Otto
orig: oTTo 	 correct: Otto ours: Otto
orig: Unter 	 correct: unter ours: unter
orig: geräusch 	 correct: Geräusch ours: Geräusch
orig: lars 	 correct: Lars ours: Lars
orig: gePlatzt 	 correct: geplatzt ours: geplatzt
orig: ruhe 	 correct: Ruhe ours: Ruhe
orig: solte 	 correct: sollte ours: sollte
orig: Auf 	 correct: auf ours: auf
orig: angst 	 correct: Angst ours: Angst
orig: Auf 	 correct: auf ours: auf
orig: stannd 	 correct: stand ours: stand
orig: zimmer 	 correct: Zimmer ours: Zimmer
orig: zimmer 	 correct: Zimmer ours: Zimmer
orig: sint 	 correct: sind ours: sind
orig: An 	 correct: an ours: an
orig: An 	 correct: an ours: an
orig: An 	 correct: an ours: an
orig: weiel 	 correct: weil ours: weil
orig: Der 	 correct: der ours: der
orig: Unt 	 correct: Und ours: Und
orig: An 	 correct: an ours: an
orig: knochen 	 correct: Knochen ours: Knochen
orig: schmeisen 	 correct: schmeißen ours: schmeißen
orig: su 	 correct: zu ours: zu
orig: zeit 	 correct: Zeit ours: Zeit
orig: geräusch 	 correct: Geräusch ours: Geräusch
orig: drausen 	 correct: draußen ours: draußen
orig: müll 	 correct: Müll ours: Müll
orig: schmeisen 	 correct: schmeißen ours: schmeißen
orig: lars 	 correct: Lars ours: Lars
orig: kekse 	 correct: Kekse ours: Kekse
orig: komt 	 correct: kommt ours: kommt
orig: bein 	 correct: Bein ours: Bein
orig: passirt 	 correct: passiert ours: passiert
orig: Bellt 	 correct: bellt ours: bellt
orig: kekse 	 correct: Kekse ours: Kekse
orig: tüte 	 correct: Tüte ours: Tüte
orig: schonn 	 correct: schon ours: schon
orig: forne 	 correct: vorne ours: vorne
orig: Kleine 	 correct: kleine ours: kleine
orig: schleft 	 correct: schläft ours: schläft
orig: uund 	 correct: und ours: und
orig: sihet 	 correct: sieht ours: sieht
orig: kan 	 correct: kann ours: kann
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: kan 	 correct: kann ours: kann
orig: glück 	 correct: Glück ours: Glück
orig: foll 	 correct: voll ours: voll
orig: müll 	 correct: Müll ours: Müll
orig: angst 	 correct: Angst ours: Angst
orig: hörd 	 correct: hört ours: hört
orig: knochen 	 correct: Knochen ours: Knochen
orig: küche 	 correct: Küche ours: Küche
orig: knochen 	 correct: Knochen ours: Knochen
orig: die 	 correct: Die ours: Die
orig: solte 	 correct: sollte ours: sollte
orig: dan 	 correct: dann ours: dann
orig: geschaft 	 correct: geschafft ours: geschafft
orig: geschnapt 	 correct: geschnappt ours: geschnappt
orig: essen 	 correct: Essen ours: Essen
orig: zürück 	 correct: zurück ours: zurück
orig: jetz 	 correct: jetzt ours: jetzt
orig: glüklich 	 correct: glücklich ours: glücklich
orig: essen 	 correct: Essen ours: Essen
orig: zürük 	 correct: zurück ours: zurück
orig: tages 	 correct: Tages ours: Tages
orig: Schlief 	 correct: schlief ours: schlief
orig: gerauschen 	 correct: Geräuschen ours: Geräuschen
orig: kekse 	 correct: Kekse ours: Kekse
orig: hand 	 correct: Hand ours: Hand
orig: kekse 	 correct: Kekse ours: Kekse
orig: der 	 correct: Der ours: Der
orig: jetz 	 correct: jetzt ours: jetzt
orig: Der 	 correct: der ours: der
orig: jetz 	 correct: jetzt ours: jetzt
orig: lars 	 correct: Lars ours: Lars
orig: zeit 	 correct: Zeit ours: Zeit
orig: dan 	 correct: dann ours: dann
orig: zurük 	 correct: zurück ours: zurück
orig: wolte 	 correct: wollte ours: wollte
orig: wolte 	 correct: wollte ours: wollte
orig: un 	 correct: und ours: und
orig: dan 	 correct: dann ours: dann
orig: boden 	 correct: Boden ours: Boden
orig: dan 	 correct: dann ours: dann
orig: schleft 	 correct: schläft ours: schläft
orig: Was 	 correct: was ours: was
orig: Was 	 correct: was ours: was
orig: Was 	 correct: was ours: was
orig: Bellt 	 correct: bellt ours: bellt
orig: bein 	 correct: Bein ours: Bein
orig: Boeutel 	 correct: Beutel ours: Beutel
orig: boden 	 correct: Boden ours: Boden
orig: fellt 	 correct: fällt ours: fällt
orig: anung 	 correct: Ahnung ours: Ahnung
orig: hose 	 correct: Hose ours: Hose
orig: wolte 	 correct: wollte ours: wollte
orig: Bellt 	 correct: bellt ours: bellt
orig: wekselt 	 correct: wechselt ours: wechselt
orig: kaput 	 correct: kaputt ours: kaputt
orig: händen 	 correct: Händen ours: Händen
orig: eksplodiert 	 correct: explodiert ours: explodiert
orig: knochen 	 correct: Knochen ours: Knochen
orig: drinne 	 correct: drinnen ours: drinnen
orig: lars 	 correct: Lars ours: Lars
orig: Dabhei 	 correct: Dabei ours: Dabei
orig: Plötslirch 	 correct: Plötzlich ours: Plötzlich
orig: Den 	 correct: den ours: den
orig: wider 	 correct: wieder ours: wieder
orig: der 	 correct: Der ours: Der
orig: kekse 	 correct: Kekse ours: Kekse
orig: gans 	 correct: ganz ours: ganz
orig: ubersetzt 	 correct: übersetzt ours: übersetzt
orig: hofentlich 	 correct: hoffentlich ours: hoffentlich
orig: möglichkeit 	 correct: Möglichkeit ours: Möglichkeit
orig: kekse 	 correct: Kekse ours: Kekse
