Languagetool gets right: 2478
Out of: 5366
Accuracy: 0.462

LT correct + ours correct: 1813
LT correct + ours incorrect: 665
LT incorrect + ours correct: 1176
LT incorrect + ours incorrect: 1712

############ Correct by Languagetool, correct by us ##########
orig: Naturlich 	 correct: Natürlich ours: Natürlich
orig: woche 	 correct: Woche ours: Woche
orig: Frietag 	 correct: Freitag ours: Freitag
orig: moglisch 	 correct: möglich ours: möglich
orig: glücklisch 	 correct: glücklich ours: glücklich
orig: gefält 	 correct: gefällt ours: gefällt
orig: wasser 	 correct: Wasser ours: Wasser
orig: name 	 correct: Name ours: Name
orig: tag 	 correct: Tag ours: Tag
orig: wochen 	 correct: Wochen ours: Wochen
orig: freund 	 correct: Freund ours: Freund
orig: Kann 	 correct: kann ours: kann
orig: ernährung 	 correct: Ernährung ours: Ernährung
orig: Kannst 	 correct: kannst ours: kannst
orig: DanK 	 correct: Dank ours: Dank
orig: freundin 	 correct: Freundin ours: Freundin
orig: niht 	 correct: nicht ours: nicht
orig: antworht 	 correct: Antwort ours: Antwort
orig: monat 	 correct: Monat ours: Monat
orig: Suche 	 correct: suche ours: suche
orig: zeit 	 correct: Zeit ours: Zeit
orig: Breif 	 correct: Brief ours: Brief
orig: Kommst 	 correct: kommst ours: kommst
orig: Geshefte 	 correct: Geschäfte ours: Geschäfte
orig: Kommst 	 correct: kommst ours: kommst
orig: märz 	 correct: März ours: März
orig: mir 	 correct: Mir ours: Mir
orig: problem 	 correct: Problem ours: Problem
orig: Kann 	 correct: kann ours: kann
orig: hilfe 	 correct: Hilfe ours: Hilfe
orig: tag 	 correct: Tag ours: Tag
orig: Eltren 	 correct: Eltern ours: Eltern
orig: montag 	 correct: Montag ours: Montag
orig: ein 	 correct: Ein ours: Ein
orig: Kann 	 correct: kann ours: kann
orig: zuruck 	 correct: zurück ours: zurück
orig: darf 	 correct: Darf ours: Darf
orig: Kennst 	 correct: kennst ours: kennst
orig: problem 	 correct: Problem ours: Problem
orig: aber 	 correct: Aber ours: Aber
orig: Für 	 correct: für ours: für
orig: hilfe 	 correct: Hilfe ours: Hilfe
orig: frgen 	 correct: fragen ours: fragen
orig: aber 	 correct: Aber ours: Aber
orig: antwort 	 correct: Antwort ours: Antwort
orig: andare 	 correct: andere ours: andere
orig: chef 	 correct: Chef ours: Chef
orig: monad 	 correct: Monat ours: Monat
orig: ticket 	 correct: Ticket ours: Ticket
orig: wecseln 	 correct: wechseln ours: wechseln
orig: beschäftig 	 correct: beschäftigt ours: beschäftigt
orig: termin 	 correct: Termin ours: Termin
orig: termin 	 correct: Termin ours: Termin
orig: montag 	 correct: Montag ours: Montag
orig: prüfung 	 correct: Prüfung ours: Prüfung
orig: platz 	 correct: Platz ours: Platz
orig: Sonnstag 	 correct: Sonntag ours: Sonntag
orig: kostenloss 	 correct: kostenlos ours: kostenlos
orig: zürük 	 correct: zurück ours: zurück
orig: Kann 	 correct: kann ours: kann
orig: termin 	 correct: Termin ours: Termin
orig: arzt 	 correct: Arzt ours: Arzt
orig: arzt 	 correct: Arzt ours: Arzt
orig: Kann 	 correct: kann ours: kann
orig: zuruk 	 correct: zurück ours: zurück
orig: wenn 	 correct: Wenn ours: Wenn
orig: beschäftlich 	 correct: geschäftlich ours: geschäftlich
orig: Leider 	 correct: leider ours: leider
orig: Kleinen 	 correct: kleinen ours: kleinen
orig: Wie 	 correct: wie ours: wie
orig: mutter 	 correct: Mutter ours: Mutter
orig: märz 	 correct: März ours: März
orig: Näturlich 	 correct: Natürlich ours: Natürlich
orig: bis 	 correct: Bis ours: Bis
orig: Kann 	 correct: kann ours: kann
orig: moglichkeit 	 correct: Möglichkeit ours: Möglichkeit
orig: mir 	 correct: Mir ours: Mir
orig: aber 	 correct: Aber ours: Aber
orig: Am 	 correct: am ours: am
orig: ausflug 	 correct: Ausflug ours: Ausflug
orig: aber 	 correct: Aber ours: Aber
orig: velleicht 	 correct: vielleicht ours: vielleicht
orig: du 	 correct: Du ours: Du
orig: chance 	 correct: Chance ours: Chance
orig: un 	 correct: und ours: und
orig: lust 	 correct: Lust ours: Lust
orig: Breif 	 correct: Brief ours: Brief
orig: du 	 correct: Du ours: Du
orig: märz 	 correct: März ours: März
orig: ausflug 	 correct: Ausflug ours: Ausflug
orig: bett 	 correct: Bett ours: Bett
orig: vielleich 	 correct: vielleicht ours: vielleicht
orig: zeit 	 correct: Zeit ours: Zeit
orig: Bhan 	 correct: Bahn ours: Bahn
orig: zeit 	 correct: Zeit ours: Zeit
orig: personen 	 correct: Personen ours: Personen
orig: antwort 	 correct: Antwort ours: Antwort
orig: wolte 	 correct: wollte ours: wollte

############ Correct by Languagetool, incorrect by us ##########
orig: warmherzigkeit 	 correct: Warmherzigkeit ours: Barmherzigkeit
orig: Russicsh 	 correct: Russisch ours: russisch
orig: unterschietliche 	 correct: unterschiedliche ours: unterschiedlichen
orig: Wochende 	 correct: Wochenende ours: kochende
orig: wan 	 correct: wann ours: An
orig: verlaüft 	 correct: verläuft ours: verkauft
orig: Franzosisch 	 correct: Französisch ours: französisch
orig: Als 	 correct: als ours: Als
orig: erfahrung 	 correct: Erfahrung ours: erfahrene
orig: interessirt 	 correct: interessiert ours: interessant
orig: Fachwisen 	 correct: Fachwissen ours: nachweisen
orig: It-Systemkauffrau 	 correct: IT-Systemkauffrau ours: systemkonform
orig: möglichkeit 	 correct: Möglichkeit ours: Möglichkeiten
orig: Vorstellungsgespräach 	 correct: Vorstellungsgespräch ours: Versöhnungsgespräch
orig: erforgleicher 	 correct: erfolgreicher ours: erfolgreiches
orig: praktikumsplatz 	 correct: Praktikumsplatz ours: Praktikums
orig: Franzözich 	 correct: Französisch ours: französisch
orig: deutsch 	 correct: Deutsch ours: deutlich
orig: zuferlesig 	 correct: zuverlässig ours: Zuverlässig
orig: Vorstellungsgesprech 	 correct: Vorstellungsgespräch ours: Versöhnungsgespräch
orig: dirrekte 	 correct: direkte ours: direkten
orig: zuverfügung 	 correct: zur Verfügung ours: Verfügung
orig: Mit 	 correct: mit ours: Mit
orig: kenntnisse 	 correct: Kenntnisse ours: Erkenntnisse
orig: erfahrung 	 correct: Erfahrung ours: erfahren
orig: praktikantenstelle 	 correct: Praktikantenstelle ours: praktikabelste
orig: Deutshkurs 	 correct: Deutschkurs ours: Diskurs
orig: riserviren 	 correct: reservieren ours: reserviert
orig: teilzeit 	 correct: Teilzeit ours: Steilheit
orig: Englische 	 correct: englische ours: englischen
orig: berüflich 	 correct: beruflich ours: bezüglich
orig: vertriebspraktikantenstelle 	 correct: Vertriebspraktikantenstelle ours: Vermisstenstelle
orig: Sprachkentnisse 	 correct: Sprachkenntnisse ours: sprachkritische
orig: schriflich 	 correct: schriftlich ours: schließlich
orig: Fränzosisch 	 correct: Französisch ours: französisch
orig: interculturelle 	 correct: interkulturelle ours: interkulturellen
orig: KundenKontaK 	 correct: Kundenkontakt ours: Kunden
orig: gespräch 	 correct: Gespräch ours: Gespräche
orig: Certificat 	 correct: Zertifikat ours: Zertifikate
orig: inserat 	 correct: Inserat ours: Inserate
orig: bahnhofstraße 	 correct: Bahnhofstraße ours: Zehnthofstraße
orig: Lebenslauff 	 correct: Lebenslauf ours: Regenstauf
orig: Kosove 	 correct: Kosovo ours: Konsole
orig: gibtes 	 correct: gibt es ours: gibt
orig: grossen 	 correct: großen ours: Glossen
orig: meine 	 correct: Meine ours: Eine
orig: Zusätzliche 	 correct: zusätzliche ours: zusätzlichen
orig: überstunden 	 correct: Überstunden ours: Überwunden
orig: Sprachkentnisse 	 correct: Sprachkenntnisse ours: sprachkritische
orig: teamfähike 	 correct: teamfähige ours: teamfähig
orig: elektrotechik 	 correct: Elektrotechnik ours: Elektronik
orig: Fur 	 correct: Für ours: Fuß
orig: Franzosisch 	 correct: Französisch ours: französisch
orig: Ertgespräche 	 correct: Erstgespräche ours: Gespräche
orig: folgenden 	 correct: Folgenden ours: folgenden
orig: praktikant 	 correct: Praktikant ours: Praktika
orig: kurs 	 correct: Kurs ours: kurz
orig: Komunikationbereich 	 correct: Kommunikationsbereich ours: kommunikationsfrei
orig: Stadverwaltung 	 correct: Stadtverwaltung ours: Verwaltung
orig: Sprachkentnise 	 correct: Sprachkenntnisse ours: Sprachenfolge
orig: Datenverabreitung 	 correct: Datenverarbeitung ours: Nachverarbeitung
orig: Wirtschaftsuniversitat 	 correct: Wirtschaftsuniversität ours: wirtschaftsliberal
orig: Abschlußarbeit 	 correct: Abschlussarbeit ours: Kerbschlagarbeit
orig: Abschlußarbeit 	 correct: Abschlussarbeit ours: Kerbschlagarbeit
orig: IT-Systemkaufman 	 correct: IT-Systemkaufmann ours: systemkonform
orig: IT-Kentnisse 	 correct: IT-Kenntnisse ours: Kenntnisse
orig: Als 	 correct: als ours: Als
orig: Vertriebspraktikanterin 	 correct: Vertriebspraktikanten ours: betriebsintern
orig: teoretische 	 correct: theoretische ours: theoretischen
orig: prakticher 	 correct: praktischer ours: praktischen
orig: Arbeitskolegen 	 correct: Arbeitskollegen ours: arbeitslosen
orig: kontaktfreuidige 	 correct: kontaktfreudige ours: kontaktfreudig
orig: menschen 	 correct: Menschen ours: wünschen
orig: Vorstellungsgesprach 	 correct: Vorstellungsgespräch ours: Versöhnungsgespräch
orig: Aufenthatsformalitäten 	 correct: Aufenthaltsformalitäten ours: aufenthaltsrechtlichen
orig: neues 	 correct: Neues ours: neues
orig: Drausen 	 correct: Draußen ours: Brausen
orig: Famillien 	 correct: Familien ours: Familie
orig: Wasfür 	 correct: Was für ours: Dafür
orig: Deutschkenntniss 	 correct: Deutschkenntnisse ours: Russischkenntnisse
orig: helfen 	 correct: Helfen ours: helfen
orig: Mitglieger 	 correct: Mitglieder ours: mitfliegen
orig: weiss 	 correct: weiß ours: Weis
orig: Aufenthaltsformalitaten 	 correct: Aufenthaltsformalitäten ours: aufenthaltsrechtlichen
orig: unzwar 	 correct: und zwar ours: zwar
orig: Sprachkentnisse 	 correct: Sprachkenntnisse ours: sprachkritische
orig: aufenthaltsformalitäten 	 correct: Aufenthaltsformalitäten ours: aufenthaltsrechtlichen
orig: antwort 	 correct: Antwort ours: antworten
orig: möglichkeiten 	 correct: Möglichkeiten ours: Möglichkeit
orig: freizeitaktivitäten 	 correct: Freizeitaktivitäten ours: Enzymaktivitäten
orig: gewaht 	 correct: gewählt ours: gewahrt
orig: Betreung 	 correct: Betreuung ours: Befreiung
orig: weiss 	 correct: weiß ours: weis
orig: Als 	 correct: als ours: Als
orig: hause 	 correct: Hause ours: hause
orig: freuntlich 	 correct: freundlich ours: deutlich
orig: anZuschließen 	 correct: anzuschließen ours: abzuschließen
orig: Durch 	 correct: durch ours: Durch
orig: Abschliessend 	 correct: Abschließend ours: Abschlüssen
orig: Obwohl 	 correct: obwohl ours: wohl
orig: Wohenende 	 correct: Wochenende ours: lohnende
orig: Privatsfere 	 correct: Privatsphäre ours: Privatiers
orig: IWohenende 	 correct: Wochenende ours: lohnende
orig: KurSgebüren 	 correct: Kursgebühren ours: kursieren
orig: überhauptnicht 	 correct: überhaupt nicht ours: überhaupt
orig: ltztes 	 correct: letztes ours: letzte
orig: bemerkungen 	 correct: Bemerkungen ours: Anmerkungen
orig: daruber 	 correct: darüber ours: sauber
orig: Spatziergang 	 correct: Spaziergang ours: Platzierung
orig: unsympatisch 	 correct: unsympathisch ours: sympathisch
orig: In 	 correct: in ours: In
orig: jungsten 	 correct: jüngsten ours: jungen
orig: Sklawe 	 correct: Sklave ours: Sklaven
orig: Meilbox 	 correct: Mailbox ours: Meilen
orig: gezeicht 	 correct: gezeigt ours: gereicht
orig: ViertelJahr 	 correct: Vierteljahr ours: Viertel
orig: nacht 	 correct: Nacht ours: nicht
orig: Schultzt 	 correct: Schultz ours: Schulz
orig: unterhaltung 	 correct: Unterhaltung ours: unterhaltene
orig: familie 	 correct: Familie ours: Familien
orig: grosse 	 correct: große ours: Rosse
orig: Deutshkurs 	 correct: Deutschkurs ours: Deutschtums
orig: gegenteil 	 correct: Gegenteil ours: gegenteilig
orig: muß 	 correct: muss ours: Mut
orig: spachliches 	 correct: sprachliches ours: sprachlichen
orig: muß 	 correct: muss ours: maß
orig: English 	 correct: Englisch ours: englisch
orig: radfahren 	 correct: Rad fahren ours: abfahren
orig: Als 	 correct: als ours: Als
orig: Keine 	 correct: keine ours: eine
orig: problem 	 correct: Problem ours: Probleme
orig: Vorallem 	 correct: Vor allem ours: Korallen
orig: weiss 	 correct: weiß ours: weis
orig: sachen 	 correct: Sachen ours: suchen
orig: grossen 	 correct: großen ours: Glossen
orig: religios 	 correct: religiös ours: Religion
orig: Zwangemassnahmen 	 correct: Zwangsmaßnahmen ours: Hegemaßnahmen
orig: Schulabschluß 	 correct: Schulabschluss ours: schulischen
orig: möglichkeit 	 correct: Möglichkeit ours: Möglichkeiten
orig: bisjetzt 	 correct: bis jetzt ours: jetzt
orig: Geselschaft 	 correct: Gesellschaft ours: Gemeinschaft
orig: wohnzimmer 	 correct: Wohnzimmer ours: zimmer
orig: wohnblock 	 correct: Wohnblock ours: wohnlich
orig: Tradizionen 	 correct: Traditionen ours: Tradition
orig: künstlische 	 correct: künstliche ours: künstlerische
orig: Traditonen 	 correct: Traditionen ours: Tradition
orig: leuten 	 correct: Leuten ours: leiten
orig: leuten 	 correct: Leuten ours: leiten
orig: zufinden 	 correct: zu finden ours: finden
orig: Franzosich 	 correct: Französisch ours: französisch
orig: vorteile 	 correct: Vorteile ours: verteile
orig: Englishlernen 	 correct: Englischlernen ours: entliehenen
orig: muß 	 correct: muss ours: Fuß
orig: muß 	 correct: muss ours: Mut
orig: vorschriften 	 correct: Vorschriften ours: verschriften
orig: daueraufenthalt 	 correct: Daueraufenthalt ours: Parisaufenthalt
orig: Erstmal 	 correct: erstmal ours: erstmals
orig: muß 	 correct: muss ours: Maß
orig: muß 	 correct: muss ours: Mut
orig: muß 	 correct: muss ours: Mut
orig: Heimaitland 	 correct: Heimatland ours: Heiland
orig: In 	 correct: in ours: In
orig: europisch 	 correct: europäisch ours: erotisch
orig: Gastelandes 	 correct: Gastlandes ours: Gutlandes
orig: Mittglied 	 correct: Mitglied ours: Mittler
orig: shteht 	 correct: steht ours: sieht
orig: zuverstehen 	 correct: zu verstehen ours: verstehen
orig: Tradizionen 	 correct: Traditionen ours: Tradition
orig: gelachelt 	 correct: gelächelt ours: gelacht
orig: Vorallem 	 correct: Vor allem ours: Korallen
orig: Fransözisch 	 correct: Französisch ours: französisch
orig: arbeitzplatz 	 correct: Arbeitsplatz ours: Moritzplatz
orig: gezetsliche 	 correct: gesetzliche ours: gesetzlichen
orig: Fransözisch 	 correct: Französisch ours: französisch
orig: frühstück 	 correct: Frühstück ours: frühstücken
orig: bauernfrühstück 	 correct: Bauernfrühstück ours: Katerfrühstück
orig: Großer 	 correct: großer ours: großen
orig: Markler 	 correct: Makler ours: Marker
orig: Fur 	 correct: Für ours: Fuß
orig: einbisschen 	 correct: ein bisschen ours: einmischen
orig: familien 	 correct: Familien ours: Familie
orig: International 	 correct: international ours: internationale
orig: mieten 	 correct: Mieten ours: bieten
orig: deutsch 	 correct: Deutsch ours: deutsch
orig: deutsch 	 correct: Deutsch ours: deutsch
orig: unvermeindlich 	 correct: unvermeidlich ours: unverbindlich
orig: zukunftiger 	 correct: zukünftiger ours: zukünftigen
orig: Pfarmaindustrie 	 correct: Pharmaindustrie ours: Uhrenindustrie
orig: Segretation 	 correct: Segregation ours: Vegetation
orig: Dass 	 correct: Das ours: Dass
orig: Tradizionen 	 correct: Traditionen ours: Tradition
orig: Frühstuck 	 correct: Frühstück ours: frühstücken
orig: weiss 	 correct: weiß ours: weis
orig: Südamerikanische 	 correct: südamerikanische ours: südamerikanischen
orig: ausländer 	 correct: Ausländer ours: Ausländern
orig: leute 	 correct: Leute ours: heute
orig: leute 	 correct: Leute ours: heute
orig: komunizeren 	 correct: kommunizieren ours: kombinieren
orig: Photos 	 correct: Fotos ours: Photos
orig: Geselschaftsregelungen 	 correct: Gesellschaftsregelungen ours: gesellschaftsrelevanten
orig: integrationsprozes 	 correct: Integrationsprozess ours: Desintegrationsprozesse
orig: Würzel 	 correct: Wurzel ours: Würfel
orig: nacht 	 correct: Nacht ours: nicht
orig: problem 	 correct: Problem ours: Probleme
orig: Sonder 	 correct: Sondern ours: Sender
orig: fachleute 	 correct: Fachleute ours: achtete
orig: das 	 correct: dass ours: das
orig: minimum 	 correct: Minimum ours: minimal
orig: neues 	 correct: Neues ours: neues
orig: Heimtland 	 correct: Heimatland ours: Heiland
orig: Tradiptionen 	 correct: Traditionen ours: Tradition
orig: möglichkeiten 	 correct: Möglichkeiten ours: Möglichkeit
orig: Imobilienmarkler 	 correct: Immobilienmakler ours: Fossiliensammler
orig: Freundlichen 	 correct: freundlichen ours: freundliche
orig: mitarbeiter 	 correct: Mitarbeiter ours: mitarbeiten
orig: offentlichen 	 correct: öffentlichen ours: öffentliche
orig: verkehrsmittel 	 correct: Verkehrsmittel ours: verkehrssicher
orig: wohnort 	 correct: Wohnort ours: wohnt
orig: EInfamilienhäuse 	 correct: Einfamilienhäuser ours: Invalidenhaus
orig: vezichten 	 correct: verzichten ours: berichten
orig: exestierte 	 correct: existierte ours: existiert
orig: Haftpflichversicherung 	 correct: Haftpflichtversicherung ours: haftpflichtversichert
orig: ingerdwelche 	 correct: irgendwelche ours: irgendwelchen
orig: Mitvertrags 	 correct: Mietvertrags ours: Diavortrags
orig: Keine 	 correct: keine ours: eine
orig: bezahlung 	 correct: Bezahlung ours: bezahlen
orig: zeitschrift 	 correct: Zeitschrift ours: Reinschrift
orig: verschidene 	 correct: verschiedene ours: verschiedenen
orig: west 	 correct: West ours: fest
orig: nord 	 correct: Nord ours: Mord
orig: möglichkeit 	 correct: Möglichkeit ours: Möglichkeiten
orig: möglichkeit 	 correct: Möglichkeit ours: Möglichkeiten
orig: heisst 	 correct: heißt ours: heilst
orig: verkehrsgunstige 	 correct: verkehrsgünstige ours: verkehrsgünstig
orig: Strassen 	 correct: Straßen ours: Trassen
orig: lebensmittel 	 correct: Lebensmittel ours: lebensechte
orig: sowol 	 correct: sowohl ours: sowie
orig: zuverfassen 	 correct: zu verfassen ours: verfassen
orig: zuverkaufen 	 correct: zu verkaufen ours: verkaufen
orig: Einkaufscentren 	 correct: Einkaufszentren ours: einkassieren
orig: zufinden 	 correct: zu finden ours: finden
orig: Ritmus 	 correct: Rhythmus ours: Titus
orig: weis 	 correct: weiß ours: weil
orig: großteil 	 correct: Großteil ours: großen
orig: Mitburger 	 correct: Mitbürger ours: Marburger
orig: Wohnungsmöglickeiten 	 correct: Wohnungsmöglichkeiten ours: Deutungsmöglichkeiten
orig: brauchtman 	 correct: braucht man ours: brauchen
orig: ausserhalb 	 correct: außerhalb ours: unterhalb
orig: im 	 correct: Im ours: In
orig: grosse 	 correct: große ours: Glosse
orig: Famillien 	 correct: Familien ours: Familie
orig: Famillien 	 correct: Familien ours: Familie
orig: Erkenntnisgewin 	 correct: Erkenntnisgewinn ours: Erkenntnisse
orig: Darüberhinaus 	 correct: Darüber hinaus ours: Dahinaus
orig: löckeren 	 correct: lockeren ours: leckeren
orig: personlichen 	 correct: persönlichen ours: persönliche
orig: Moglichkeiten 	 correct: Möglichkeiten ours: Möglichkeit
orig: Vor 	 correct: vor ours: Vor
orig: Wochende 	 correct: Wochenende ours: kochende
orig: Geschänk 	 correct: Geschenk ours: Geschick
orig: prüfung 	 correct: Prüfung ours: prüfen
orig: Entschuldingung 	 correct: Entschuldigung ours: Entschädigung
orig: Nocheinmal 	 correct: Noch einmal ours: einmal
orig: Tschüß 	 correct: Tschüss ours: Tschad
orig: Es 	 correct: es ours: Es
orig: kind 	 correct: Kind ours: sind
orig: Suwenier 	 correct: Souvenir ours: Anwender
orig: brief 	 correct: Brief ours: rief
orig: meine 	 correct: Meine ours: Keine
orig: Email 	 correct: E-Mail ours: Email
orig: nechste 	 correct: nächste ours: nächsten
orig: monate 	 correct: Monate ours: Monaten
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: hause 	 correct: Hause ours: hause
orig: besuch 	 correct: Besuch ours: besucht
orig: geburstag 	 correct: Geburtstag ours: gebürstet
orig: wan 	 correct: wann ours: was
orig: andwohrt 	 correct: Antwort ours: androht
orig: leuft 	 correct: läuft ours: Luft
orig: Vielen 	 correct: vielen ours: Vielen
orig: Glückwunschekarte 	 correct: Glückwunschkarte ours: Glückwünsche
orig: Silviesternach 	 correct: Silvesternacht ours: Silvester
orig: aber 	 correct: Aber ours: Über
orig: arbeit 	 correct: Arbeit ours: arbeiten
orig: geburstag 	 correct: Geburtstag ours: gebürstet
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: katzenvell 	 correct: Katzenfell ours: Katzenwels
orig: geburstag 	 correct: Geburtstag ours: gebürstet
orig: Parfühm 	 correct: Parfüm ours: Parfum
orig: Treffen 	 correct: treffen ours: Treffen
orig: geburtstag 	 correct: Geburtstag ours: gebürstet
orig: gute 	 correct: Gute ours: gute
orig: Gebustag 	 correct: Geburtstag ours: Geburt
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: Gimnasium 	 correct: Gymnasium ours: Gymnasien
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: Geburgstag 	 correct: Geburtstag ours: Geburt
orig: Geburgstag 	 correct: Geburtstag ours: Geburt
orig: muß 	 correct: muss ours: Maß
orig: mußen 	 correct: müssen ours: außen
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: Wan 	 correct: Wann ours: An
orig: Geburstag 	 correct: Geburtstag ours: Geburt
orig: gute 	 correct: Gute ours: gut
orig: practisieren 	 correct: praktizieren ours: kritisieren
orig: freizeit 	 correct: Freizeit ours: Freiheit
orig: vorschlag 	 correct: Vorschlag ours: vorschlug
orig: indiesem 	 correct: in diesem ours: diesem
orig: E-mail 	 correct: E-Mail ours: Email
orig: wo 	 correct: Wo ours: So
orig: Es 	 correct: es ours: Es
orig: Wochendende 	 correct: Wochenende ours: scheidende
orig: max 	 correct: Max ours: man
orig: max 	 correct: Max ours: man
orig: arbeit 	 correct: Arbeit ours: arbeiten
orig: fur 	 correct: für ours: zur
orig: disem 	 correct: diesem ours: die
orig: zeit 	 correct: Zeit ours: seit
orig: geburstag 	 correct: Geburtstag ours: gebürstet
orig: worlesen 	 correct: vorlesen ours: vorlegen
orig: jahre 	 correct: Jahre ours: fahre
orig: schpeter 	 correct: später ours: schwerer
orig: merz 	 correct: März ours: merk
orig: max 	 correct: Max ours: man
orig: geburtstag 	 correct: Geburtstag ours: gebrüstet
orig: Wochenede 	 correct: Wochenende ours: kochende
orig: geschenk 	 correct: Geschenk ours: Geschenke
orig: teurste 	 correct: teuerste ours: erste
orig: Kanst 	 correct: Kannst ours: Kunst
orig: ch 	 correct: ich ours: Ich
orig: geschtrichen 	 correct: gestrichen ours: geschrieben
orig: freunden 	 correct: Freunden ours: freunde
orig: feuerwerk 	 correct: Feuerwerk ours: Feuerwerker
orig: krankenhaus 	 correct: Krankenhaus ours: Grafenhaus
orig: nacht 	 correct: Nacht ours: nicht
orig: immernoch 	 correct: immer noch ours: Emmerich
orig: hause 	 correct: Hause ours: hause
orig: Jugenlichen 	 correct: Jugendlichen ours: jugendliche
orig: weitweg 	 correct: weit weg ours: weiter
orig: großmutter 	 correct: Großmutter ours: Urgroßmutter
orig: neues 	 correct: Neues ours: neues
orig: hate 	 correct: hatte ours: hat
orig: mal 	 correct: Mal ours: mal
orig: wochenende 	 correct: Wochenende ours: wachsende
orig: geschenk 	 correct: Geschenk ours: geschenkt
orig: getreumt 	 correct: geträumt ours: getrennt
orig: gewiß 	 correct: gewiss ours: weiß
orig: geschenk 	 correct: Geschenk ours: Geschenke
orig: E-mail 	 correct: E-Mail ours: Email
orig: mal 	 correct: Mal ours: mal
orig: SPass 	 correct: Spaß ours: Spas
orig: Vielen 	 correct: vielen ours: Vielen
orig: Von 	 correct: von ours: Von
orig: Ministrium 	 correct: Ministerium ours: Ministerin
orig: zuhause 	 correct: zu Hause ours: zuhause
orig: Gluckwunschkarte 	 correct: Glückwunschkarte ours: Glückwünsche
orig: Spass 	 correct: Spaß ours: pass
orig: beidir 	 correct: bei dir ours: leider
orig: Arbeitsplazt 	 correct: Arbeitsplatz ours: arbeitslos
orig: Suvenir 	 correct: Souvenir ours: Souvenirs
orig: besuch 	 correct: Besuch ours: besuche
orig: dagibt 	 correct: da gibt ours: damit
orig: Vielen 	 correct: vielen ours: Vielen
orig: E-mail 	 correct: E-Mail ours: Email
orig: Gebutstag 	 correct: Geburtstag ours: Veitstag
orig: Herzliche 	 correct: herzliche ours: Herzlichen
orig: stralende 	 correct: strahlende ours: strahlenden
orig: misterieuse 	 correct: mysteriöse ours: materielle
orig: schiffsfahrt 	 correct: Schiffsfahrt ours: Schifffahrt
orig: Geschänk 	 correct: Geschenk ours: Geschäft
orig: idee 	 correct: Idee ours: Ideen
orig: neubauWohnung 	 correct: Neubauwohnung ours: Wohnung
orig: wohnung 	 correct: Wohnung ours: wohnen
orig: antwort 	 correct: Antwort ours: antworten
orig: stadtmitte 	 correct: Stadtmitte ours: Saalmitte
orig: Märzt 	 correct: März ours: Arzt
orig: Wohnug 	 correct: Wohnung ours: wohnen
orig: hate 	 correct: hatte ours: hat
orig: nechste 	 correct: nächste ours: nächstes
orig: Am 	 correct: am ours: Am
orig: gunstig 	 correct: günstig ours: günstige
orig: lesen 	 correct: Lesen ours: leben
orig: straße 	 correct: Straße ours: Strafe
orig: gäfell 	 correct: gefällt ours: gell
orig: Naricht 	 correct: Nachricht ours: Nacht
orig: DachWohnung 	 correct: Dachwohnung ours: Wohnung
orig: wohnungssuche 	 correct: Wohnungssuche ours: wohnungsnahe
orig: monate 	 correct: Monate ours: Monaten
orig: Weil 	 correct: weil ours: Teil
orig: Wie 	 correct: wie ours: Wie
orig: haustiere 	 correct: Haustiere ours: haussieren
orig: hofe 	 correct: hoffe ours: Hoffe
orig: Muttr 	 correct: Mutter ours: Autor
orig: heisst 	 correct: heißt ours: heimst
orig: e-mail 	 correct: E-Mail ours: Mail
orig: Alles 	 correct: alles ours: Alles
orig: wann 	 correct: Wann ours: Dann
orig: name 	 correct: Name ours: nahe
orig: ich 	 correct: Ich ours: Sich
orig: hatt 	 correct: hat ours: Hat
orig: wochenende 	 correct: Wochenende ours: Wachsende
orig: Wie 	 correct: wie ours: Wie
orig: Einbaukuche 	 correct: Einbauküche ours: eintauche
orig: Bis 	 correct: bis ours: Bis
orig: Wie 	 correct: wie ours: Wie
orig: Wie 	 correct: wie ours: Wie
orig: Wochnende 	 correct: Wochenende ours: wohnend
orig: wenn 	 correct: Wenn ours: Wen
orig: hause 	 correct: Hause ours: hause
orig: Etwas 	 correct: etwas ours: was
orig: Tereffen 	 correct: Treffen ours: Treffer
orig: wir 	 correct: Wir ours: Wird
orig: bikini 	 correct: Bikini ours: Rimini
orig: nebenmeine 	 correct: neben meine ours: nebenbei
orig: dichnach 	 correct: dich nach ours: danach
orig: Daniiela 	 correct: Daniela ours: Daniel
orig: schwimmbaden 	 correct: Schwimmbaden ours: Schwimmbad
orig: strand 	 correct: Strand ours: stand
orig: schwimmkleidung 	 correct: Schwimmkleidung ours: schwimmen
orig: Schwimbad 	 correct: Schwimmbad ours: Schwimmen
orig: und 	 correct: Und ours: Uns
orig: Tschuss 	 correct: Tschüss ours: Schuss
orig: geth 	 correct: geht ours: Geht
orig: Tscüss 	 correct: Tschüss ours: Access
orig: must 	 correct: musst ours: Musst
orig: bikini 	 correct: Bikini ours: Rimini
orig: zeit 	 correct: Zeit ours: zeit
orig: gute 	 correct: Gute ours: gut
