A	V
Kwakiutl	k w { k i: u: t l
Kwakiutl's	k w { k i: u: t l z
Kwan	k w Q n
Kwan's	k w Q n z
Kwangju	k w Q N dZ u:
Kwangju's	k w Q N dZ V s
Kwanzaa	k w Q n z V
Kwanzaa's	k w Q n z V z
Kwanzaas	k w Q n z V z
Ky	k j
Ky's	k I s
Kyle	k aI l
Kyle's	k aI l z
Kyoto	k j @U t @U
Kyoto's	k j @U t @U s
Kyrgyzstan	k I R g I s t { n
Kyrgyzstan's	k I R g I s t { n z
Kyushu	k j V S u:
Kyushu's	k j u: S V s
L	E l
L'Amour	l { m O: R
L'Amour's	l { m U R z
L'Enfant	l E n f Q n t
L'Oreal	l O: R i: { l
L'Oreal's	l O: R i: V l z
L'Ouverture	l u: v 3` tS 3`
L'Ouverture's	l u: v 3` tS 3` z
L's	E l E s
LA	E l eI
LAN	E l eI E n
LAN's	l { n z
LBJ	E l b i: dZ eI
LBJ's	E l b i: dZ eI E s
LC	E l s i:
LCD	E l s i: d i:
LCD's	E l s i: d i: E s
LCM	E l s i: E m
LDC	E l d i: s i:
LED	E l i: d i:
LED's	l E d z
LG	E l dZ i:
LG's	E l dZ i: E s
LGBT	E l dZ i: b i: t i:
LIFO	E l aI E f @U
LL	E l E l
LLB	E l E l b i:
LLB's	E l E l b i: E s
LLD	E l E l d i:
LLD's	E l E l d i: E s
LNG	E l E n dZ i:
LOGO	E l @U dZ i: @U
LP	E l p i:
LP's	E l p i: E s
LPG	E l p i: dZ i:
LPN	E l p i: E n
LPN's	E l p i: E n E s
LPNs	E l p i: E n E s
LSAT	E l E s eI t i:
LSD	E l E s d i:
LSD's	E l E s d i: E s
LVN	E l v i: E n
La	l Q
La's	l Q s
Lab	l { b
Laban	l eI b V n
Laban's	l Q b { n z
Labrador	l { b R V d O: R
Labrador's	l Q b R V d 3` z
Labradorean	l Q b R V d O: R i: V n
Labradors	l Q b R V d 3` z
Lacey	l eI s i:
Lacey's	l eI s I z
Lachesis	l { k E s V s
Lachesis's	l { k E s V s
Lacy	l eI s i:
Lacy's	l eI s i: z
Ladoga	l { d @U g V
Ladoga's	l { d @U g V s
Ladonna	l V d I n V
Ladonna's	l V d I n V z
Lady	l eI d i:
Lady's	l eI d i: z
Ladyship	l eI d aI S i: p
Ladyship's	l eI d aI S i: p s
Ladyships	l eI d aI S i: p s
Lafayette	l Q f i: E t
Lafayette's	l { f eI t s
Lafitte	l V f I t
Lafitte's	l { f I t s
Lagos	l eI g O: s
Lagos's	l Q g Q s
Lagrange	l { g R eI n dZ
Lagrange's	l Q g R Q n dZ I z
Lagrangian	l Q g R Q n dZ V n
Lagrangian's	l Q g R Q n dZ V n z
Lahore	l Q h O: R
Lahore's	l Q h O: R E s
Laius	l eI s
Laius's	l aI u: s
Lajos	l eI dZ @U z
Lajos's	l V dZ Q s
Lakeisha	l V k i: I S V
Lakeisha's	l V k i: I S V z
Lakewood	l eI k w U d
Lakisha	l Q k I S V
Lakisha's	l Q k I S V z
Lakota	l V k @U t V
Lakota's	l V k @U t V z
Lakshmi	l { k S m i:
Lakshmi's	l { k S m I s
Lamaism	l Q m eI z V m
Lamaism's	l Q m eI z V m z
Lamaisms	l Q m eI z V m z
Lamar	l V m Q R
Lamar's	l V m Q R z
Lamarck	l Q m Q R k
Lamarck's	l Q m Q R k s
Lamaze	l Q m Q z i:
Lamaze's	l Q m Q z I z
Lamb	l { m
Lamb's	l { m z
Lambert	l { m b 3` t
Lambert's	l { m b 3` t s
Lamborghini	l { m b 3` g i: n i:
Lamborghini's	l { m b 3` g i: n i: z
Lambrusco	l { m b R V s k @U
Lambrusco's	l { m b R V s k @U z
Lamentations	l V m E n t eI S V n z
Lamont	l V m Q n t
Lamont's	l Q m Q n t s
Lana	l { n V
Lana's	l Q n V z
Lanai	l V n aI
Lanai's	l Q n eI
Lancashire	l { N k V S aI R
Lancashire's	l { n k V S aI R z
Lancaster	l { n k { s t 3`
Lancaster's	l { n k { s t 3` z
Lance	l { n s
Lance's	l { n s I z
Lancelot	l { n s V l Q t
Lancelot's	l { n s V l Q t s
Land	l { n d
Land's	l { n d z
Landon	l { n d V n
Landon's	l { n d V n z
Landry	l { n d R i:
Landry's	l { n d R i: z
Landsat	l { n d s { t
Landsat's	l { n d s Q t s
Landsteiner	l { n d s t aI n 3`
Landsteiner's	l { n d s t aI n 3` z
Lane	l eI n
Lane's	l eI n z
Lang	l { N
Lang's	l { N z
Langerhans	l { N g 3` h V n z
Langerhans's	l { N g 3` h V n s
Langland	l { N l V n d
Langland's	l { N g l V n d z
Langley	l { N l i:
Langley's	l { N l i: z
Langmuir	l { N m j U R
Langmuir's	l { N m j u: 3` z
Lanka	l { N k V
Lanka's	l { N k V z
Lankan	l { N k V n
Lankan's	l { N k V n z
Lanny	l { n i:
Lanny's	l { n i: z
Lansing	l { n s I N
Lansing's	l { n s I N z
Lanzhou	l { n z h u:
Lanzhou's	l { n z h u: z
Lao	l aU
Lao's	l Q @U s
Laocoon	l V k u: n
Laocoon's	l V k u: n z
Laos	l Q @U s
Laos's	l eI @U s
Laotian	l eI @U S V n
Laotian's	l eI @U S V n z
Laotians	l eI @U S V n z
Laplace	l V p l eI s
Laplace's	l V p l eI s I z
Lapland	l { p l { n d
Lapland's	l V p l { n d z
Laplander	l V p l { n d 3`
Lapp	l { p
Lapp's	l { p s
Lapps	l { p s
Lara	l Q R V
Lara's	l Q R V z
Laramie	l E R V m i:
Laramie's	l { R V m i: z
Lardner	l Q R d n 3`
Lardner's	l Q R d n 3` z
Laredo	l 3` eI d @U
Laredo's	l 3` i: d @U z
Larousse	l 3` u: s
Larousse's	l 3` u: s I z
Larry	l E R i:
Larry's	l E R i: z
Lars	l Q R z
Lars's	l Q R s
Larsen	l Q R s V n
Larsen's	l Q R s V n z
Larson	l Q R s V n
Larson's	l Q R s V n z
Las	l Q s
Lascaux	l { s k @U
Lascaux's	l { s k s
Lassa	l Q s V
Lassa's	l { s V s
Lassen	l { s V n
Lassen's	l { s V n z
Lassie	l { s i:
Lassie's	l { s i: z
Lat	l Q t
Lat's	l Q t s
Latasha	l V t Q S V
Latasha's	l V t V S V z
Lateran	l { t 3` V n
Lateran's	l { t 3` V n z
Latham	l { T V m
Latham's	l { T V m z
Latin	l { t V n
Latin's	l { t V n z
Latina	l Q t i: n V
Latiner	l Q t V n 3`
Latino	l Q t i: n @U
Latino's	l Q t i: n @U s
Latinos	l Q t i: n @U s
Latins	l { t V n z
Latisha	l V t I S V
Latisha's	l V t I S V z
Latonya	l { t Q n j V
Latonya's	l { t Q n j V s
Latoya	l V t OI V
Latoya's	l V t OI V z
Latrobe	l Q t R @U b
Latrobe's	l Q t R @U b z
Latvia	l { t v i: V
Latvia's	l { t v i: V z
Latvian	l { t v i: V n
Latvian's	l { t v i: V n z
Latvians	l { t v i: V n z
Laud	l O: d
Laud's	l O: d z
Lauder	l O: d 3`
Lauder's	l O: d 3` z
Laue	l aU i:
Laue's	l aU z
Laundromat	l O: n d R V m { t
Laundromat's	l O: n d R V m { t s
Laura	l O: R V
Laura's	l O: R V z
Laurasia	l O: R eI Z V
Laurasia's	l O: R eI Z V z
Laurel	l O: R V l
Laurel's	l O: R V l z
Lauren	l O: R V n
Lauren's	l O: R V n z
Laurence	l O: R V n s
Laurence's	l O: R V n s I z
Laurent	l O: R V n t
Laurent's	l O: R V n t s
Lauri	l O: R i:
Lauri's	l O: R I s
Laurie	l O: R i:
Laurie's	l O: R i: z
Laval	l V v Q l
Laval's	l Q v V l z
Lavern	l V v 3` n
Lavern's	l V v 3` n z
Laverne	l V v 3` n
Laverne's	l V v 3` n z
Lavoisier	l { v OI z i: 3`
Lavoisier's	l { v OI z i: 3` z
Lavonne	l V v I n
Lavonne's	l V v I n z
Lawanda	l V w Q n d V
Lawanda's	l V w Q n d V z
Lawrence	l O: R V n s
Lawrence's	l O: R V n s I z
Lawson	l O: s V n
Lawson's	l O: s V n z
Layamon	l aI j V m V n
Layamon's	l aI j V m V n z
Layla	l eI l V
Layla's	l eI l V z
Lazaro	l V z Q R @U
Lazaro's	l V z 3` @U z
Lazarus	l { z 3` V s
Lazarus's	l { z 3` V s
Le	l V
Le's	l E s
Lea	l i:
Lea's	l i: z
Leach	l i: tS
Leach's	l i: tS I z
Leadbelly	l E d b E l i:
Leadbelly's	l E d b E l I s
Leah	l i: V
Leah's	l i: z
Leakey	l i: k i:
Leakey's	l i: k i: z
Lean	l i: n
Lean's	l i: n z
Leander	l i: { n d 3`
Leander's	l i: { n d 3` z
Leann	l i: { n
Leann's	l n V n
Leanna	l n V
Leanna's	l i: n I s
Leanne	l n
Leanne's	l i: n I s
Lear	l I R
Lear's	l i: R z
Learjet	l I R dZ E t
Learjet's	l I R dZ E t s
Leary	l I R i:
Leary's	l I R i: z
Leavenworth	l E v V n w 3` T
Leavenworth's	l E v V n w 3` T s
Lebanese	l E b V n i: z
Lebanese's	l E b V n i: s I z
Lebanon	l E b V n V n
Lebanon's	l E b V n V n z
Lebesgue	l E b s g
Lebesgue's	l E b s g z
Leblanc	l V b l { N k
Leblanc's	l E b l { n k s
Leda	l i: d V
Leda's	l E d V z
Lederberg	l i: d 3` b 3` g
Lederberg's	l i: d 3` b 3` g z
Lee	l i:
Lee's	l i: z
Leeds	l i: d z
Leeds's	l i: d z I z
Leeuwenhoek	l u: V n h @U k
Leeuwenhoek's	l u: V n h @U k s
Leeward	l i: w 3` d
Leeward's	l i: w 3` d z
Left	l E f t
Legendre	l E g I n d R eI
Legendre's	l E g I n d R z
Leger	l E dZ 3`
Leger's	l i: g 3` z
Leghorn	l E g h O: R n
Leghorn's	l E g h O: R n z
Lego	l E g @U
Lego's	l i: g @U z
Legree	l I g R i:
Legree's	l I g R i: z
Lehman	l i: m V n
Lehman's	l i: m V n z
Leibniz	l i: b n I z
Leibniz's	l i: b n I z
Leicester	l E s t 3`
Leicester's	l aI s E s t 3` z
Leicesters	l aI s E s t 3` z
Leiden	l aI d V n
Leiden's	l aI d V n z
Leif	l i: f
Leif's	l i: f s
Leigh	l i:
Leigh's	l i: z
Leila	l i: l V
Leila's	l i: l V z
Leipzig	l aI p s I g
Leipzig's	l aI p s I g z
Lela	l i: l V
Lela's	l E l V z
Leland	l i: l V n d
Leland's	l E l V n d z
Lelia	l i: l j V
Lelia's	l E l j V z
Lemaitre	l I m eI t 3`
Lemaitre's	l I m eI t 3` z
Lemuel	l E m j u: l
Lemuel's	l E m j u: l z
Lemuria	l E m U R i: V
Lemuria's	l E m U R i: V z
Len	l E n
Len's	l E n z
Lena	l i: n V
Lena's	l i: n V z
Lenard	l E n 3` d
Lenard's	l E n 3` d z
Lenin	l E n V n
Lenin's	l E n I n z
Leningrad	l E n V n g R { d
Leningrad's	l E n I N R { d z
Leninism	l E n I n I z V m
Leninism's	l E n I n I z V m z
Leninist	l E n I n I s t
Leninist's	l E n I n I s t s
Lennon	l E n V n
Lennon's	l E n V n z
Lenny	l E n i:
Lenny's	l E n i: z
Leno	l E n @U
Leno's	l i: n @U z
Lenoir	l E n w Q R
Lenoir's	l E n w Q R z
Lenora	l E n 3` V
Lenora's	l V n O: R V z
Lenore	l V n O: R
Lenore's	l V n 3` z
Lent	l E n t
Lent's	l E n t s
Lenten	l E n t E n
Lenten's	l E n t E n z
Lents	l E n t s
Leo	l i: @U
Leo's	l i: @U z
Leola	l E l V
Leola's	l i: @U l V z
Leon	l i: Q n
Leon's	l i: Q n z
Leona	l i: @U n V
Leona's	l i: @U n V z
Leonard	l E n 3` d
Leonard's	l E n 3` d z
Leonardo	l i: V n Q R d @U
Leonardo's	l E n Q R d @U z
Leoncavallo	l E @U n k { v { l @U
Leoncavallo's	l E @U n k { v { l @U z
Leonel	l i: @U n V l
Leonel's	l E n V l z
Leonid	l i: V n I d
Leonid's	l i: @U n I d z
Leonidas	l i: V n V d V z
Leonidas's	l i: V n d V d { s
Leonor	l i: V n 3`
Leonor's	l i: @U n 3` z
Leopold	l i: V p @U l d
Leopold's	l E p @U l d z
Leopoldo	l i: V p @U l d @U
Leopoldo's	l E p @U l d @U z
Leos	l i: @U z
Lepidus	l eI p I d I s
Lepidus's	l eI p I d V s
Lepke	l E p k
Lepke's	l E p k s
Lepus	l i: p V s
Lepus's	l eI p V s
Lerner	l 3` n 3`
Lerner's	l 3` n 3` z
Leroy	l i: R OI
Leroy's	l i: R OI z
Les	l E s
Les's	l E s
Lesa	l i: s V
Lesa's	l E s V s
Lesley	l E s l i:
Lesley's	l E s l i: z
Leslie	l E s l i:
Leslie's	l E s l i: z
Lesotho	l E s @U T @U
Lesotho's	l E s @U T @U z
Lesseps	l E s I p s
Lesseps's	l E s I p V s
Lessie	l E s i:
Lessie's	l E s i: z
Lester	l E s t 3`
Lester's	l E s t 3` z
Lestrade	l E s t R eI d
Lestrade's	l E s t R eI d z
Leta	l E t V
Leta's	l i: t V z
Letha	l E T V
Letha's	l E T V z
Lethe	l E T
Lethe's	l E T V z
Leticia	l V t I S V
Leticia's	l V t I S V z
Letitia	l I t I S i: V
Letitia's	l V t I S i: V z
Letterman	l E t 3` m V n
Letterman's	l E t 3` m V n z
Levant	l V v { n t
Levant's	l E v V n t s
Levesque	l I v E s k
Levesque's	l E v E s k s
Levi	l i: v aI
Levi's	l E v I s
Leviathan	l V v aI V T V n
Leviathan's	l i: v i: Q T V n z
Levine	l V v i: n
Levine's	l V v i: n z
Levis	l E v I s
Leviticus	l V v I t V k V s
Leviticus's	l V v I t I k V s
Levitt	l E v I t
Levitt's	l E v I t s
Levy	l E v i:
Levy's	l E v i: z
Lew	l u:
Lew's	l u: z
Lewinsky	l u: I n s k i:
Lewinsky's	l u: I n s k i: z
Lewis	l u: I s
Lewis's	l u: I s I z
Lexington	l E k s I N t V n
Lexington's	l E k s I N t V n z
Lexus	l E k s V s
Lexus's	l E k s V s I z
Lhasa	l Q s V
Lhasa's	l V s V s
Lhasas	l V s V s
Lhotse	l Q t s
Lhotse's	l Q t s
Li	l i:
Li's	l i: z
Libby	l I b i:
Libby's	l I b aI
Liberace	l I b 3` Q tS i:
Liberace's	l I b 3` Q tS
Liberal	l I b 3` V l
Liberia	l aI b I R i: V
Liberia's	l aI b I R i: V z
Liberian	l aI b I R i: V n
Liberian's	l aI b I R i: V n z
Liberians	l aI b I R i: V n z
Libra	l i: b R V
Libra's	l i: b R V z
Libras	l i: b R V z
LibreOffice	l aI b R i: O: f V s
LibreOffice's	l aI b R i: O: f V s I z
Libreville	l I b R v I l
Libreville's	l I b R v I l z
Librium	l i: b R i: V m
Librium's	l i: b R i: V m z
Libya	l I b i: V
Libya's	l I b i: V z
Libyan	l I b i: V n
Libyan's	l I b i: V n z
Libyans	l I b i: V n z
Lichtenstein	l I k t V n s t i: n
Lichtenstein's	l I k t V n s t aI n z
Lidia	l I d i: V
Lidia's	l I d i: V z
Lie	l aI
Lie's	l aI z
Lieberman	l i: b 3` m V n
Lieberman's	l i: b 3` m V n z
Liebfraumilch	l i: b f R O: m I l tS
Liebfraumilch's	l i: b f R O: m I l tS
Liechtenstein	l I k t V n s t aI n
Liechtenstein's	l I k t V n s t aI n z
Liechtensteiner	l I k t V n s t aI n 3`
Liechtensteiner's	l I k t V n s t aI n 3` z
Liechtensteiners	l I k t V n s t aI n 3` z
Liege	l i: dZ
Liege's	l i: dZ V z
Lieut	l
Lila	l i: l V
Lila's	l aI l V z
Lilia	l i: l i: V
Lilia's	l aI l i: V z
Lilian	l I l i: V n
Lilian's	l I l i: V n z
Liliana	l I l i: { n V
Liliana's	l I l i: Q n V z
Lilith	l I l I T
Lilith's	l I l I T s
Liliuokalani	l I l i: w Q k Q l Q n i:
Liliuokalani's	l I l i: w Q k Q l V n I s
Lille	l I l
Lille's	l I l z
Lillian	l I l i: V n
Lillian's	l I l i: V n z
Lillie	l I l i:
Lillie's	l I l i: z
Lilliput	l I l I p V t
Lilliput's	l I l i: p V t s
Lilliputian	l I l V p j u: S V n
Lilliputian's	l I l i: p j U s i: V n z
Lilliputians	l I l i: p j U s i: V n z
Lilly	l I l i:
Lilly's	l I l i: z
Lilongwe	l aI l O: N w
Lilongwe's	l aI l O: N w eI z
Lily	l I l i:
Lily's	l I l i: z
Lima	l aI m V
Lima's	l aI m V z
Limbaugh	l I m b O:
Limbaugh's	l I m b O: z
Limbo	l I m b @U
Limburger	l I m b 3` g 3`
Limburger's	l I m b 3` g 3` z
Limoges	l I m @U dZ I z
Limoges's	l I m Q g I s
Limousin	l I m V z { n
Limousin's	l I m V z { n z
Limpopo	l I m p @U p @U
Limpopo's	l I m p @U p @U z
Lin	l I n
Lin's	l I n z
Lina	l i: n V
Lina's	l aI n V z
Lincoln	l I N k V n
Lincoln's	l I N k V n z
Lincolns	l I N k V n z
Lind	l I n d
Lind's	l I n d z
Linda	l I n d V
Linda's	l I n d V z
Lindbergh	l I n d b 3` g
Lindbergh's	l aI n d b 3` g z
Lindsay	l I n d z i:
Lindsay's	l I n d z eI z
Lindsey	l I n d z i:
Lindsey's	l I n d z i: z
Lindy	l I n d i:
Lindy's	l I n d I s
Linnaeus	l I n E z
Linnaeus's	l I n E s
Linotype	l I n @U t aI p
Linotype's	l I n V t aI p s
Linton	l I n t V n
Linton's	l I n t V n z
Linus	l aI n V s
Linus's	l I n V s
Linux	l I n V k s
Linux's	l I n V k s
Linuxes	l I n V k s I z
Linwood	l I n w U d
Linwood's	l I n w U d z
Lionel	l aI V n V l
Lionel's	l aI V n V l z
Lipizzaner	l I p i: t s Q n 3`
Lipizzaner's	l I p i: t s Q n 3` z
Lippi	l I p i:
Lippi's	l I p I s
Lippmann	l I p m V n
Lippmann's	l I p m V n z
Lipscomb	l I p s k V m
Lipscomb's	l I p s k @U m z
Lipton	l I p t V n
Lipton's	l I p t V n z
Lisa	l i: s V
Lisa's	l i: s V z
Lisbon	l I z b V n
Lisbon's	l I z b V n z
Lissajous	l I s V dZ u: s
Lissajous's	l I s V dZ aU s
Lister	l I s t 3`
Lister's	l I s t 3` z
Listerine	l I s t 3` i: n
Listerine's	l I s t 3` i: n z
Liston	l I s t V n
Liston's	l I s t V n z
Liszt	l I s t
Liszt's	l I s s t s
Lithuania	l I T V w eI n i: V
Lithuania's	l I T V w eI n i: V z
Lithuanian	l I T V w eI n i: V n
Lithuanian's	l I T V w eI n i: V n z
Lithuanians	l I T V w eI n i: V n z
Little	l I t V l
Little's	l I t V l z
Litton	l I t V n
Litton's	l I t V n z
Liverpool	l I v 3` p u: l
Liverpool's	l I v 3` p u: l z
Liverpudlian	l I v 3` p V d l i: V n
Liverpudlian's	l I v 3` p V d l i: V n z
Liverpudlians	l I v 3` p V d l i: V n z
Livia	l I v i: V
Livia's	l I v i: V z
Livingston	l I v I N s t V n
Livingston's	l I v I N s t V n z
Livingstone	l I v I N s t @U n
Livingstone's	l I v I N s t @U n z
Livonia	l I v @U n j V
Livonia's	l I v @U n i: V z
Livy	l aI v i:
Livy's	l aI v I s
Liz	l I z
Liz's	l I z V z
Liza	l i: z V
Liza's	l aI z V z
Lizzie	l I z i:
Lizzie's	l I z I z
Lizzy	l I z i:
Lizzy's	l I z I z
Ljubljana	l j u: b l j Q n V
Ljubljana's	l j u: b l j Q n V z
Llewellyn	l u: E l I n
Llewellyn's	l u: E l I n z
Lloyd	l OI d
Lloyd's	l OI d z
Ln	E l E n
Loafer	l @U f 3`
Loafer's	l @U f 3` z
Loafers	l @U f 3` z
Lobachevsky	l @U b V tS E v s k i:
Lobachevsky's	l @U b V tS E v s k i: z
Lochinvar	l @U tS i: n v Q R
Lochinvar's	l @U tS i: n v Q R z
Locke	l Q k
Locke's	l Q k s
Lockean	l Q k i: n
Lockean's	l Q k i: n z
Lockheed	l Q k h i: d
Lockheed's	l Q k h i: d z
Lockwood	l Q k w U d
Lockwood's	l Q k w U d z
Lodge	l Q dZ
Lodge's	l Q dZ I z
Lodz	l Q d z
Lodz's	l Q d z
Loewe	l Q u:
Loewe's	l @U z
Loewi	l @U w i:
Loewi's	l @U z
Loews	l @U z
Loews's	l @U s
Logan	l @U g V n
Logan's	l Q g V n z
Lohengrin	l @U V n g R I n
Lohengrin's	l @U N g R I n z
Loire	l OI R
Loire's	l OI R E s
Lois	l @U V s
Lois's	l OI z
Loki	l @U k i:
Loki's	l @U k I s
Lola	l @U l V
Lola's	l @U l V z
Lolita	l @U l i: t V
Lolita's	l @U l V t V z
Lollard	l Q l 3` d
Lollard's	l Q l 3` d z
Lollobrigida	l Q l V b R I dZ i: d V
Lollobrigida's	l Q l V b R I dZ I d V z
Lombard	l Q m b Q R d
Lombard's	l Q m b Q R d z
Lombardi	l Q m b Q R d i:
Lombardi's	l Q m b Q R d I s
Lombardy	l Q m b Q R d i:
Lombardy's	l Q m b Q R d i: z
Lome	l V m
Lome's	l @U m z
Lon	l Q n
Lon's	l Q n z
London	l V n d V n
London's	l V n d V n z
Londoner	l V n d V n 3`
Londoner's	l V n d V n 3` z
Londoners	l V n d V n 3` z
Long	l O: N
Long's	l O: N z
Longfellow	l O: N f E l @U
Longfellow's	l O: N f E l @U z
Longstreet	l O: N s t R i: t
Longstreet's	l O: N s t R i: t s
Longueuil	l O: N g j u: l
Lonnie	l O: n i:
Lonnie's	l O: n i: z
Lopez	l @U p E z
Lopez's	l @U p E z I z
Lora	l O: R V
Lora's	l O: R V z
Loraine	l 3` eI n
Loraine's	l O: R eI n z
Lord	l O: R d
Lord's	l O: R d z
Lords	l O: R d z
Lordship	l O: R d S I p
Lordship's	l O: R d S I p s
Lordships	l O: R d S I p s
Lorelei	l O: R I l aI
Lorelei's	l O: R V l i: z
Loren	l O: R V n
Loren's	l O: R V n z
Lorena	l O: R E n V
Lorena's	l O: R E n V z
Lorene	l O: R i: n
Lorene's	l O: R eI n z
Lorentz	l O: R I n t s
Lorentz's	l O: R I n t s
Lorenz	l 3` E n t s
Lorenz's	l O: R E n z
Lorenzo	l 3` E n z @U
Lorenzo's	l O: R E n z @U z
Loretta	l 3` E t V
Loretta's	l O: R E t V z
Lori	l O: R i:
Lori's	l O: R i: z
Lorie	l O: R i:
Lorie's	l O: R i: z
Lorna	l O: R n V
Lorna's	l O: R n V z
Lorraine	l 3` eI n
Lorraine's	l 3` eI n z
Lorre	l O: R
Lorre's	l O: R E z
Lorrie	l O: R i:
Lorrie's	l O: R i: z
Los	l @U z
Lot	l Q t
Lot's	l Q t s
Lothario	l Q T R i: @U
Lothario's	l Q T R i: @U z
Lotharios	l Q T R i: @U z
Lott	l Q t
Lott's	l Q t s
Lottie	l Q t i:
Lottie's	l Q t i: z
Lou	l u:
Lou's	l u: z
Louella	l aU E l V
Louella's	l aU V l V z
Louie	l u: i:
Louie's	l u: i: z
Louis	l u: I s
Louis's	l u: I s I z
Louisa	l u: i: z V
Louisa's	l u: I s V s
Louise	l u: i: z
Louise's	l u: I s I z
Louisiana	l u: i: z i: { n V
Louisiana's	l u: i: z i: { n V z
Louisianan	l u: i: z i: eI n V n
Louisianan's	l u: i: z i: eI n V n z
Louisianans	l u: i: z i: eI n V n z
Louisianian	l u: i: z i: { n i: V n
Louisianian's	l u: i: z i: { n i: V n z
Louisianians	l u: i: z i: { n i: V n z
Louisville	l u: i: v I l
Louisville's	l u: i: z v I l V s
Lourdes	l O: R d z
Lourdes's	l O: R d E s
Louvre	l u: v R V
Louvre's	l u: v R z
Love	l V v
Love's	l V v z
Lovecraft	l V v k R { f t
Lovecraft's	l V v k R { f t s
Lovelace	l V v l eI s
Lovelace's	l V v l eI s I z
Lowe	l @U
Lowe's	l @U z
Lowell	l @U V l
Lowell's	l @U V l z
Lowenbrau	l @U V n b R aU
Lowenbrau's	l @U V n b R aU s
Lowery	l aU 3` i:
Lowery's	l aU 3` I s
Lowlands	l @U l { n d z
Loyang	l OI { N
Loyang's	l OI { N z
Loyd	l OI d
Loyd's	l OI d z
Loyola	l OI @U l V
Loyola's	l OI @U l V z
Lr	E l 3`
Lt	E l t i:
Ltd	E l t i: d i:
Lu	l u:
Lu's	l V s
Luanda	l u: Q n d V
Luanda's	l u: Q n d V z
Luann	l V w V n
Luann's	l V w V n z
Lubavitcher	l u: b V v I tS 3`
Lubavitcher's	l u: b V v I tS 3` z
Lubbock	l V b V k
Lubbock's	l V b @U t s k s
Lubumbashi	l V b V m b V S i:
Lubumbashi's	l V b V m b V S I s
Lucas	l u: k V s
Lucas's	l u: k V s I z
Luce	l u: s
Luce's	l u: s I z
Lucia	l u: S V
Lucia's	l u: S V z
Lucian	l u: S V n
Lucian's	l u: S V n z
Luciano	l u: tS i: Q n @U
Luciano's	l u: tS i: Q n @U z
Lucien	l u: s i: V n
Lucien's	l u: S I n z
Lucifer	l u: s V f 3`
Lucifer's	l u: s V f 3` z
Lucile	l u: s i: l
Lucile's	l u: s i: l z
Lucille	l u: s i: l
Lucille's	l u: s I l z
Lucinda	l u: s I n d V
Lucinda's	l u: s I n d V z
Lucio	l u: s i: @U
Lucio's	l u: s i: @U z
Lucite	l u: s aI t
Lucite's	l u: s aI t s
Lucites	l u: s aI t s
Lucius	l u: S V s
Lucius's	l u: S u: s
Lucknow	l V n @U
Lucknow's	l V n @U z
Lucretia	l u: k R i: S V
Lucretia's	l u: k R i: t j V z
Lucretius	l u: k R i: t i: I s
Lucretius's	l u: k R i: t i: u: s
Lucy	l u: s i:
Lucy's	l u: s I z
Luddite	l V d aI t
Luddite's	l V d aI t s
Luddites	l V d aI t s
Ludhiana	l V d h i: { n V
Ludhiana's	l V d h i: Q n V z
Ludwig	l V d w I g
Ludwig's	l V d w I g z
Luella	l u: E l V
Luella's	l u: E l V z
Lufthansa	l V f t { n z V
Lufthansa's	l V f t { n z V z
Luftwaffe	l V f t w Q f
Luftwaffe's	l V f t w Q f s
Luger	l u: g 3`
Luger's	l u: g 3` z
Lugosi	l u: g @U s i:
Lugosi's	l u: g @U s V s
Luigi	l u: i: dZ i:
Luigi's	l u: i: dZ i: z
Luis	l u: i: s
Luis's	l u: s
Luisa	l u: i: z V
Luisa's	l u: s V s
Luke	l u: k
Luke's	l u: k s
Lula	l u: l V
Lula's	l u: l V z
Lully	l V l i:
Lully's	l V l i: z
Lulu	l u: l u:
Lulu's	l u: l V s
Lumiere	l u: m I R
Lumiere's	l u: m I R z
Luna	l u: n V
Luna's	l u: n V z
Lupe	l u: p
Lupe's	l u: p s
Lupercalia	l u: p 3` k eI l i: V
Lupercalia's	l u: p 3` k eI l i: V z
Lupus	l u: p V s
Lupus's	l V p V s
Luria	l U R i: V
Luria's	l U R i: V z
Lusaka	l u: s Q k V
Lusaka's	l u: s Q k V z
Lusitania	l u: s V t eI n i: V
Lusitania's	l u: s V t eI n i: V z
Luther	l u: T 3`
Luther's	l u: T 3` z
Lutheran	l u: T 3` V n
Lutheran's	l u: T 3` V n z
Lutheranism	l u: T 3` V n I z V m
Lutheranism's	l u: T 3` V n I z V m z
Lutheranisms	l u: T 3` V n I z V m z
Lutherans	l u: T 3` V n z
Luvs	l V v z
Luvs's	l V v V s
Luxembourg	l V k s V m b O: R g
Luxembourg's	l V g E m b O: R g z
Luxembourger	l V g E m b O: R Z 3`
Luxembourger's	l V g E m b O: R Z 3` z
Luxembourgers	l V g E m b O: R Z 3` z
Luxembourgian	l V g E m b O: R i: V n
Luz	l V z
Luz's	l V z
Luzon	l u: z Q n
Luzon's	l V z Q n z
Lvov	l v Q v
Lvov's	l v Q v z
LyX	l I k s
LyX's	l @U s
Lyallpur	l aI V l p 3`
Lycra	l aI k R V
Lycra's	l aI k R V z
Lycurgus	l aI k 3` g V s
Lycurgus's	l V k 3` g V s
Lydia	l I d i: V
Lydia's	l aI d i: V z
Lydian	l I d i: V n
Lydian's	l I d i: V n z
Lydians	l I d i: V n z
Lyell	l aI E l
Lyell's	l aI E l z
Lyle	l aI l
